# Dies ist eine Liste von Kombinationen von "filename, region, slug", die bei Checks ignoriert werden können.
# Liste wird manuell gefüllt, auf der Basis, welche Einträge in den Original-Exceldateien defekt sind.
impfquotenmonitoring-2021-01-23-10-40-04.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,DE,personen_erst_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,RP,dosen_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,RP,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,DE,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,HB,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,HB,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,RP,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,RP,personen_erst_kumulativ
impfquotenmonitoring-2021-02-10-10-10-03.json,BW,dosen_kumulativ
impfquotenmonitoring-2021-02-10-10-10-03.json,BW,personen_voll_kumulativ
impfquotenmonitoring-2021-02-10-10-10-03.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-02-10-10-10-03.json,DE,personen_voll_kumulativ
impfquotenmonitoring-2021-03-04-08-40-05.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-03-04-08-40-05.json,DE,personen_voll_kumulativ
impfquotenmonitoring-2021-04-08-12-10-04.json,BW,dosen_kumulativ
impfquotenmonitoring-2021-04-08-12-10-04.json,BW,dosen_kumulativ_impfstelle_aerzte
impfquotenmonitoring-2021-04-08-12-10-04.json,BW,personen_erst_kumulativ
impfquotenmonitoring-2021-04-08-12-10-04.json,BW,personen_erst_kumulativ_impfstelle_aerzte
impfquotenmonitoring-2021-04-08-12-10-04.json,DE,dosen_kumulativ_impfstelle_aerzte
impfquotenmonitoring-2021-04-08-12-10-04.json,DE,personen_erst_kumulativ_impfstelle_aerzte
impfquotenmonitoring-2021-04-08-12-10-04.json,NI,dosen_kumulativ
impfquotenmonitoring-2021-04-08-12-10-04.json,NI,dosen_kumulativ_impfstelle_aerzte
impfquotenmonitoring-2021-04-08-12-10-04.json,NI,personen_erst_kumulativ
impfquotenmonitoring-2021-04-08-12-10-04.json,NI,personen_erst_kumulativ_impfstelle_aerzte
