# Dies ist eine Liste von Kombinationen von "filename, region, slug", die bei Checks ignoriert werden können.
# Liste wird manuell gefüllt, auf der Basis, welche Einträge in den Original-Exceldateien fehlt.
impfquotenmonitoring-2020-12-28.json,BB,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,BB,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,BB,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,BW,indikation_pflegeheim_dosen
impfquotenmonitoring-2020-12-28.json,BW,indikation_pflegeheim_erst
impfquotenmonitoring-2020-12-28.json,BW,indikation_pflegeheim_min1
impfquotenmonitoring-2020-12-28.json,HB,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,HB,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,HB,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,HB,indikation_pflegeheim_dosen
impfquotenmonitoring-2020-12-28.json,HB,indikation_pflegeheim_erst
impfquotenmonitoring-2020-12-28.json,HB,indikation_pflegeheim_min1
impfquotenmonitoring-2020-12-28.json,MV,indikation_alter_dosen
impfquotenmonitoring-2020-12-28.json,MV,indikation_alter_erst
impfquotenmonitoring-2020-12-28.json,MV,indikation_alter_min1
impfquotenmonitoring-2020-12-28.json,MV,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,MV,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,MV,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,NW,indikation_alter_dosen
impfquotenmonitoring-2020-12-28.json,NW,indikation_alter_erst
impfquotenmonitoring-2020-12-28.json,NW,indikation_alter_min1
impfquotenmonitoring-2020-12-28.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,RP,indikation_alter_dosen
impfquotenmonitoring-2020-12-28.json,RP,indikation_alter_erst
impfquotenmonitoring-2020-12-28.json,RP,indikation_alter_min1
impfquotenmonitoring-2020-12-28.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-28.json,TH,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-28.json,TH,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-28.json,TH,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,BB,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,BB,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,BB,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,HB,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,HB,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,HB,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,HH,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,HH,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,HH,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,NW,indikation_alter_dosen
impfquotenmonitoring-2020-12-29.json,NW,indikation_alter_erst
impfquotenmonitoring-2020-12-29.json,NW,indikation_alter_min1
impfquotenmonitoring-2020-12-29.json,NW,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,NW,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,NW,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,RP,indikation_alter_dosen
impfquotenmonitoring-2020-12-29.json,RP,indikation_alter_erst
impfquotenmonitoring-2020-12-29.json,RP,indikation_alter_min1
impfquotenmonitoring-2020-12-29.json,RP,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,RP,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,RP,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,SL,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,SL,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,SL,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-29.json,TH,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-29.json,TH,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-29.json,TH,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,HH,indikation_medizinisch_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,HH,indikation_medizinisch_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,HH,indikation_medizinisch_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_alter_dosen
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_alter_erst
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_alter_min1
impfquotenmonitoring-2020-12-31-11-36-12.json,NW,indikation_medizinisch_dosen
