# Dies ist eine Liste von Kombinationen von "filename, region, slug", die bei Checks ignoriert werden können.
# Liste wird manuell gefüllt, auf der Basis, welche Einträge in den Original-Exceldateien defekt sind.
impfquotenmonitoring-2021-01-19-11-40-03.json,BY,dosen_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,BY,personen_erst_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,DE,personen_erst_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,HB,dosen_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,HB,personen_erst_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,HH,dosen_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,HH,personen_erst_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,MV,dosen_kumulativ
impfquotenmonitoring-2021-01-19-11-40-03.json,MV,personen_erst_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,DE,personen_erst_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,RP,dosen_kumulativ
impfquotenmonitoring-2021-01-23-10-40-04.json,RP,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,DE,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,DE,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,HB,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,HB,personen_erst_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,RP,dosen_kumulativ
impfquotenmonitoring-2021-01-25-10-40-05.json,RP,personen_erst_kumulativ



