date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-28 16:15,964,1051,228,20,87,222,1694,240,116,1370,620,4,69,644,239,50,7618
2020-12-29 08:00,1877,1830,517,47,133,471,2425,1862,370,1788,715,51,551,1678,528,121,14964
2020-12-30 11:00,2994,5573,1396,1430,201,661,5092,4011,824,2771,1011,101,1294,3209,1858,252,32678
2020-12-31 08:30,4196,13981,2733,2812,408,1042,8681,6349,1512,6610,1941,161,2460,5068,3361,297,61612
2021-01-01 12:30,5423,18450,2952,2995,408,1420,12345,6583,1981,8963,2329,248,2754,5582,4523,297,77253
2021-01-02 08:00,6185,19500,3319,2995,408,1703,14480,6583,2105,11846,3166,335,3320,5760,4690,297,86692
2021-01-03 08:00,7428,25636,3647,2995,465,2010,17635,6583,2641,18806,3516,495,3535,6194,5136,297,107019
2021-01-04 12:00,8739,31755,6132,3085,506,2189,19405,6583,2822,21354,4213,495,3765,6446,5317,297,123103
2021-01-05 12:00,9828,38306,6783,3087,811,2698,22051,7738,4198,25744,5435,584,6354,7523,6611,1976,149727
2021-01-06 11:00,11336,40959,7648,5097,1062,3495,23963,10024,7376,28846,7191,672,8945,8196,8459,2856,176125
2021-01-07 11:00,12661,41737,8402,7724,1397,3561,25931,11746,10900,33961,9796,813,11072,8461,9282,4096,201540
2021-01-08 11:00,14560,44516,9109,10391,1764,4313,27009,12515,15989,39465,11833,966,13343,9554,10747,6399,232473
2021-01-09 11:00,16514,47801,9676,12192,2103,5188,28861,13122,20483,43671,14104,1104,15283,10228,12623,8583,261536
2021-01-11 11:00,19392,59598,10308,12236,2607,6397,31645,13122,22613,52000,16859,1229,16051,10787,13050,8861,296755
2021-01-12 11:00,20848,68550,10632,12430,2993,6649,33237,13895,27608,57067,19277,1435,19173,11977,15015,9827,330613
2021-01-13 11:00,22519,76344,11010,15352,3346,6866,34864,14928,32710,59599,22730,1791,23650,13373,17149,9798,366029
2021-01-14 11:00,24154,84910,11540,21079,4066,8161,35893,16644,36884,66156,25773,2024,27920,14226,18157,10998,408585
2021-01-15 11:00,26901,93673,17386,25370,4786,8250,37398,17272,40754,84253,30548,2256,31443,15590,19722,13211,468813
