date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,1620,1398,12,0,223,1347,350,306,3985,632,211,113,847,553,49,11646
2020-12-28,2020-12-29 08:00,192,2423,3322,60,278,600,1702,2209,552,5348,747,466,305,2292,1136,135,21767
2020-12-30,2020-12-31 08:30,1831,10347,6350,224,510,999,6512,4651,1423,13693,2306,899,192,4815,2241,413,57406
2020-12-31,2021-01-01 12:30,2693,14265,8161,224,237,1341,8513,4804,2044,16334,2783,1080,535,5346,2817,413,71590
2021-01-01,2021-01-02 08:00,3403,14265,9817,224,237,1341,9680,4804,2362,21537,3732,1294,679,5793,3384,413,82965
2021-01-02,2021-01-03 08:00,4200,20428,10968,224,265,1696,11569,4804,2918,29893,3732,1580,807,6410,3987,413,103894
2021-01-03,2021-01-04 12:00,4932,23823,11625,224,289,1953,12955,4804,3178,32495,4069,1580,1100,6702,4512,413,114654
2021-01-04,2021-01-05 12:00,5642,26500,12575,224,651,2060,14561,5968,5251,36956,4456,1823,1385,7804,5616,413,131885
2021-01-05,2021-01-06 11:00,6476,28182,14247,224,892,2122,15925,7828,8940,40387,5145,2156,1821,8588,6665,500,150098
2021-01-06,2021-01-07 11:00,7340,28908,15272,433,1182,2271,16780,9712,13321,45625,6188,2430,1933,8818,7768,583,168564
2021-01-07,2021-01-08 11:00,8088,30110,16773,558,1491,2352,17520,11130,18332,51345,6805,2663,2249,9500,9099,731,188746
2021-01-08,2021-01-09 11:00,9100,31568,18171,908,1924,2579,18148,11541,22615,55287,7597,2938,2707,10214,10551,924,206772
2021-01-10,2021-01-11 11:00,10274,41058,19661,982,2426,3361,20567,11541,25233,62770,9278,3253,3704,10698,12323,924,238053
2021-01-11,2021-01-12 11:00,11326,44715,20422,1162,2733,3675,22059,12311,29107,67578,10085,3535,4527,11655,16080,1249,262219
2021-01-12,2021-01-13 11:00,12781,48443,21428,2009,3115,3891,23182,13031,33078,69881,12341,3790,5770,12736,18056,1491,285023
2021-01-13,2021-01-14 11:00,13719,53456,22520,2545,3420,4195,24013,14696,36307,75918,14084,4124,6667,13632,18099,1491,308886
2021-01-14,2021-01-15 11:00,17614,57247,23282,3545,3927,4486,25588,15315,35319,92556,15874,4461,7888,14302,18214,2150,341768
2021-01-15,2021-01-16 11:00,19421,60466,24288,4502,4135,5348,27404,15991,38497,99628,17121,4899,9006,14678,18262,2582,366228
2021-01-17,2021-01-18 11:00,23375,64585,26991,4790,4533,6583,29537,15987,40361,109041,20240,5560,11271,14968,18323,2892,399037
2021-01-18,2021-01-19 14:00,24404,65949,28794,5561,5023,7421,30443,17093,42528,113651,21542,5808,12362,16424,18361,3262,418626
2021-01-19,2021-01-20 10:00,26844,66990,31150,6931,5390,8118,32560,17621,46141,115895,23412,6049,14031,17727,18392,3262,440513
2021-01-20,2021-01-21 10:00,28738,68388,33633,8143,5717,8744,35602,19547,49844,126945,23911,6274,15193,19218,18434,4071,472402
2021-01-21,2021-01-22 10:00,31185,74901,35903,9440,6209,9380,37526,20657,65185,133480,26033,6434,16233,20403,18458,4388,515815
2021-01-22,2021-01-23 10:00,34204,80626,42153,10428,6550,10163,39228,21296,69884,147211,27350,6733,17469,21176,18486,4664,557621
2021-01-24,2021-01-25 10:00,38385,90769,44670,10428,6925,11254,42717,21412,59500,169697,28678,7013,19785,21774,18523,4980,596510
2021-01-25,2021-01-26 10:00,41053,106606,46147,12108,7012,11883,44792,22284,63144,173577,30848,7226,21292,22651,19966,5336,635925
2021-01-26,2021-01-27 10:00,44051,109773,47974,13324,7339,12259,46508,23298,67027,178909,31324,7533,23009,23448,21528,5867,663171
2021-01-27,2021-01-28 10:00,46942,113752,49298,13328,7495,12703,47993,24247,72603,188425,32578,7815,23009,24338,21709,6452,692687
2021-01-28,2021-01-29 10:00,48649,117089,50443,14398,7857,13186,48970,20161,78142,193408,33882,8126,24175,25169,23142,6877,713674
2021-01-29,2021-01-30 10:00,51063,119966,51988,17022,7958,13540,50283,20395,83545,194922,34994,8415,24544,26223,24699,7280,736837
2021-01-31,2021-02-01 10:00,53971,129222,53827,17022,8815,14048,53737,20401,87331,202524,36676,8746,25999,27160,25808,7455,772742
