date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,1626,1416,228,1398,,105,0.44311322742036974
2020-12-28,2020-12-29 08:00,3839,3340,517,3322,2213,105,1.0461941451825334
2020-12-30,2020-12-31 08:30,9084,6554,2733,6350,2788,105,2.4755476985772686
2020-12-31,2021-01-01 12:30,11114,7029,2952,8161,2030,105,3.028757939452638
2021-01-01,2021-01-02 08:00,13137,8662,3319,9817,2023,105,3.5800605588077477
2021-01-02,2021-01-03 08:00,14616,9817,3647,10968,1443,105,3.9831137343026595
2021-01-03,2021-01-04 12:00,17758,10507,6132,11625,935,105,4.839363279539315
2021-01-04,2021-01-05 12:00,19389,11608,6783,12575,1631,105,5.2838390937598705
2021-01-05,2021-01-06 11:00,21955,13487,7648,14247,2566,105,5.98311863961514
2021-01-06,2021-01-07 11:00,24159,15037,8402,15272,2204,105,6.58374690113697
2021-01-07,2021-01-08 11:00,26406,16673,9109,16773,2247,105,7.196093409140396
2021-01-08,2021-01-09 11:00,28871,18591,9676,18171,2465,105,7.867848701631916
2021-01-10,2021-01-11 11:00,32014,21120,10308,19661,1026,105,8.724370764228608
2021-01-11,2021-01-12 11:00,33798,22634,10632,20422,1784,105,9.210541734534845
2021-01-12,2021-01-13 11:00,35893,24446,11010,21428,2095,105,9.781465603812627
2021-01-13,2021-01-14 11:00,38408,26527,11540,22520,2515,105,10.466846764306004
2021-01-14,2021-01-15 11:00,45998,28323,17386,23282,2196,105,12.535253526987804
2021-01-15,2021-01-16 11:00,48544,30563,17738,24288,2546,105,13.22908272564233
2021-01-17,2021-01-18 11:00,54555,35672,18625,26991,,105,14.867184576825505
2021-01-18,2021-01-19 14:00,59272,39326,19777,28794,,105,16.152648964120637
2021-01-19,2021-01-20 10:00,63767,43032,20046,31150,,136,17.377614497487528
2021-01-20,2021-01-21 10:00,68939,46791,20431,33633,,136,18.78707428359955
2021-01-21,2021-01-22 10:00,76171,51238,23118,35903,,136,20.757919831388058
2021-01-22,2021-01-23 10:00,83689,55753,25701,42153,,136,22.806705344147186
2021-01-24,2021-01-25 10:00,92763,63727,26616,44670,,136,25.279527869124085
2021-01-25,2021-01-26 10:00,97855,68167,27605,46147,,136,26.667186266433138
2021-01-26,2021-01-27 10:00,103639,73048,28471,47974,,136,28.243426676887886
2021-01-27,2021-01-28 10:00,108821,77348,29631,49298,,136,29.65561163660028
2021-01-28,2021-01-29 10:00,113870,81075,30606,50443,,136,31.031551787427738
2021-01-29,2021-01-30 10:00,121590,85543,31457,51988,,136,33.135385806914364
