date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,2084,624,964,0,,151,0.18774108378495394
2020-12-28,2020-12-29 08:00,4721,1720,1877,192,2560,326,0.42530021907330495
2020-12-30,2020-12-31 08:30,12649,5347,4196,1831,4407,763,1.1395091021093486
2020-12-31,2021-01-01 12:30,17086,7578,5423,2693,4295,1037,1.539224643737871
2021-01-01,2021-01-02 08:00,20045,9087,6185,3403,2958,1189,1.8057917583826304
2021-01-02,2021-01-03 08:00,24063,11041,7428,4200,4014,1382,2.167760892090857
2021-01-03,2021-01-04 12:00,27454,12584,8739,4932,3390,1469,2.473245544257258
2021-01-04,2021-01-05 12:00,32182,15546,9828,5642,4758,1716,2.8991763715774415
2021-01-05,2021-01-06 11:00,37840,18907,11336,6476,5621,2023,3.4088880088400466
2021-01-06,2021-01-07 11:00,42899,22030,12661,7340,4971,2303,3.8646375975483394
2021-01-07,2021-01-08 11:00,49103,25827,14560,8088,6180,2433,4.423536678067463
2021-01-08,2021-01-09 11:00,55320,29263,16514,9100,6213,2561,4.983606888187933
2021-01-10,2021-01-11 11:00,65488,35369,19392,10274,4369,2838,5.899610410225079
2021-01-11,2021-01-12 11:00,73776,38372,20848,11326,5286,2909,6.646250574529156
2021-01-12,2021-01-13 11:00,76762,41457,22519,12781,5869,2980,6.915250035269018
2021-01-13,2021-01-14 11:00,82300,44631,24154,13719,5538,3032,7.414151245442279
2021-01-14,2021-01-15 11:00,92868,49161,26901,17614,6872,3175,8.366189524443907
2021-01-15,2021-01-16 11:00,100163,52522,29956,19421,6708,3348,9.023373404583657
2021-01-17,2021-01-18 11:00,114954,58770,35662,23375,,3663,10.35584863023781
2021-01-18,2021-01-19 14:00,126514,62507,37050,24404,,3887,11.397253106511354
2021-01-19,2021-01-20 10:00,135907,67344,42585,26844,,4178,12.243439286929815
2021-01-20,2021-01-21 10:00,146800,72136,46763,28738,,4386,13.224755805965085
2021-01-21,2021-01-22 10:00,158060,78037,50710,31185,,4571,14.239134214515268
2021-01-22,2021-01-23 10:00,173772,86619,56023,34204,,5107,15.654579468080142
2021-01-24,2021-01-25 10:00,197488,98732,64917,38385,,5989,17.79108020850431
2021-01-25,2021-01-26 10:00,210862,105805,69676,41053,,6772,18.995902307611782
2021-01-26,2021-01-27 10:00,228138,114086,75421,44051,,6717,20.552243460907786
2021-01-27,2021-01-28 10:00,242556,121921,81114,46942,,7055,21.851116275692558
2021-01-28,2021-01-29 10:00,255597,143457,84419,48649,,7336,23.0259394396271
2021-01-29,2021-01-30 10:00,271908,157318,90513,51063,,8039,24.495346741746285
2021-01-31,2021-02-01 10:00,295508,172023,98188,53971,,8886,26.621397402650754
2021-02-01,2021-02-02 10:00,308205,179519,102278,57047,,9213,27.765230675595838
2021-02-02,2021-02-03 10:00,321814,187263,106931,60324,,9615,28.991223194419945
2021-02-03,2021-02-04 10:00,335873,195229,112098,63137,,9875,30.257754814829095
2021-02-04,2021-02-05 10:00,349240,202757,117138,66061,,10273,31.46194630568969
2021-02-05,2021-02-06 10:00,365886,211809,123582,69413,,10696,32.96153271676663
2021-02-07,2021-02-08 11:00,391707,226418,133378,74214,,11332,35.28766636571639
2021-02-08,2021-02-09 10:00,405844,234570,138327,76714,,11753,36.56122476373361
2021-02-09,2021-02-10 10:00,421154,243858,143195,79432,,12229,37.94045508654918
2021-02-10,2021-02-11 10:00,436223,252728,148413,82189,,12510,39.297974468293646
2021-02-11,2021-02-12 10:00,450592,261550,153265,84646,,12809,40.592433025350275
2021-02-12,2021-02-13 08:00,470110,272951,160082,88107,,13342,42.3507489914322
2021-02-14,2021-02-15 08:00,499649,290756,170033,92811,,14226,45.01182570636682
2021-02-15,2021-02-16 08:00,515281,300213,175020,95846,,14499,46.420064008538795
2021-02-16,2021-02-17 10:00,533825,311743,180856,99020,,14860,48.0906353414122
2021-02-17,2021-02-18 08:00,552335,322798,187260,101986,,15260,49.75814371994363
2021-02-18,2021-02-19 08:00,569869,333617,192960,104644,,15599,51.33772729148173
2021-02-19,2021-02-20 08:00,593476,347398,201241,108211,,16189,53.464408560633075
2021-02-21,2021-02-22 08:00,626756,367365,212477,112427,,17249,56.462500340078016
2021-02-22,2021-02-23 08:00,645641,378890,218469,115115,,17721,58.16379130326365
2021-02-23,2021-02-24 08:00,665759,390626,225716,118350,,18227,59.9761594047923
2021-02-24,2021-02-25 08:00,688239,402037,235259,121129,,18765,62.00131274619621
2021-02-25,2021-02-26 10:00,713401,414494,246453,123938,,19390,64.268079133047
2021-02-26,2021-02-27 08:00,741692,427940,259549,126844,,20272,66.81672740625243
2021-02-28,2021-03-01 08:00,787665,448855,282342,130528,,21557,70.95829211107281
2021-03-01,2021-03-02 08:00,815647,459917,297010,133125,,22738,73.47910353452319
2021-03-02,2021-03-03 10:00,846112,471625,313286,135696,,23988,76.22360071183058
2021-03-03,2021-03-04 08:00,879933,484912,330566,138171,,25589,79.27042950007
2021-03-04,2021-03-05 08:00,912712,498007,347059,140409,,27480,82.22338774641693
2021-03-05,2021-03-06 08:00,947812,513436,363171,142899,,29560,85.38543767005027
2021-03-07,2021-03-08 08:00,1006941,535532,394467,146162,,32956,90.71218553143248
2021-03-08,2021-03-09 08:00,1039487,547254,411585,148465,,35601,93.6441535318476
2021-03-09,2021-03-10 08:00,1075693,558912,431236,151212,,38547,96.90583955848774
2021-03-10,2021-03-11 08:00,1110507,570968,448937,153315,,41665,100.04212463089148
