date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,3389,994,1051,1620,,68,0.258214697940233
2020-12-28,2020-12-29 08:00,5219,1457,1830,2423,1830,91,0.39764606330778285
2020-12-30,2020-12-31 08:30,28206,5831,13981,10347,15104,424,2.1490716347306615
2020-12-31,2021-01-01 12:30,37955,7840,18450,14265,9749,718,2.8918674713253303
2021-01-01,2021-01-02 08:00,39005,7840,19500,14265,1050,718,2.9718690744050718
2021-01-02,2021-01-03 08:00,57833,12855,25636,20428,11742,1091,4.40641210562924
2021-01-03,2021-01-04 12:00,66258,15480,31755,23823,8425,1280,5.048329730340502
2021-01-04,2021-01-05 12:00,77876,18188,38306,26500,11618,1554,5.93352842041711
2021-01-05,2021-01-06 11:00,82749,18957,40959,28182,4873,1573,6.304812050710045
2021-01-06,2021-01-07 11:00,84349,19266,41737,28908,1600,1595,6.426719255402984
2021-01-07,2021-01-08 11:00,88916,20212,44516,30110,4567,1609,6.774688132798395
2021-01-08,2021-01-09 11:00,93966,20665,47801,31568,5050,1676,7.159457747610485
2021-01-10,2021-01-11 11:00,120136,27674,59598,41058,12109,2117,9.153402464369382
2021-01-11,2021-01-12 11:00,135986,31681,68550,44715,15850,2310,10.361045710858816
2021-01-12,2021-01-13 11:00,150511,35434,76344,48443,14525,2606,11.46773455346191
2021-01-13,2021-01-14 11:00,167915,40128,84910,53456,17404,2880,12.793780172509361
2021-01-14,2021-01-15 11:00,183573,44096,93673,57247,15658,3143,13.986794554435644
2021-01-15,2021-01-16 11:00,198607,47873,102769,60466,15034,3487,15.132265126531678
2021-01-17,2021-01-18 11:00,213837,52396,110513,64585,,3924,16.2926693312026
2021-01-18,2021-01-19 14:00,220737,53985,114870,65949,,4018,16.818394151440902
2021-01-19,2021-01-20 10:00,227975,55636,119692,66990,,4116,17.369871868670586
2021-01-20,2021-01-21 10:00,236541,57100,125648,68388,,4200,18.022532565795412
2021-01-21,2021-01-22 10:00,255002,61532,135322,74901,,4457,19.42911313194314
2021-01-22,2021-01-23 10:00,290869,66289,145490,80626,,4772,22.16189170114418
2021-01-24,2021-01-25 10:00,322334,75514,160990,90769,,5334,24.559273073433776
2021-01-25,2021-01-26 10:00,384311,128092,212717,106606,,6262,29.28142483921773
2021-01-26,2021-01-27 10:00,365003,133015,198662,109773,,6698,27.81030964658568
2021-01-27,2021-01-28 10:00,381689,138839,206898,113752,,7109,29.081649407527177
2021-01-28,2021-01-29 10:00,395807,143783,201431,117089,,7433,30.157328104936504
2021-01-29,2021-01-30 10:00,409703,148024,208790,119966,,7770,31.216092177694684
2021-01-31,2021-02-01 10:00,440401,157851,223392,129222,,8416,33.5550342837346
2021-02-01,2021-02-02 10:00,463122,164702,235704,134105,,8817,35.28619278237728
2021-02-02,2021-02-03 10:00,484846,171261,246930,139222,,9386,36.941387854095666
2021-02-03,2021-02-04 10:00,511210,180484,260042,145380,,9890,38.950113819423585
2021-02-04,2021-02-05 10:00,533043,187883,271852,149694,,10396,40.613613819461676
2021-02-05,2021-02-06 10:00,552776,195259,281607,153422,,10859,42.11711061334029
2021-02-07,2021-02-08 11:00,581268,206310,294739,158480,,12098,44.287973160909814
2021-02-08,2021-02-09 10:00,596841,212825,302156,160905,,12649,45.474511222586784
2021-02-09,2021-02-10 10:00,614925,221023,310174,163171,,13227,46.85236740362873
2021-02-10,2021-02-11 10:00,634320,228789,319744,165709,,13616,48.330111300515966
2021-02-11,2021-02-12 10:00,654260,237487,329155,167783,,14212,49.84937983900173
2021-02-12,2021-02-13 08:00,677964,246637,340890,170939,,14868,51.65543507652763
2021-02-14,2021-02-15 08:00,708757,260032,355711,174702,,16137,54.001615422846186
2021-02-15,2021-02-16 08:00,730066,269349,365218,177421,,17193,55.625190813347345
2021-02-16,2021-02-17 10:00,752095,278438,376343,179517,,17878,57.303624445960324
2021-02-17,2021-02-18 08:00,778069,290522,387635,183189,,18511,59.28263553014434
2021-02-18,2021-02-19 08:00,804656,303002,399533,186198,,19178,61.30835231212633
