date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,420,205,87,0,,0,0.6165572032965259
2020-12-28,2020-12-29 08:00,592,276,133,278,174,0,0.869052057979865
2020-12-30,2020-12-31 08:30,1691,821,408,510,601,5,2.4823767399391077
2020-12-31,2021-01-01 12:30,1741,821,408,237,50,6,2.555776406998218
2021-01-01,2021-01-02 08:00,1741,821,408,237,,6,2.555776406998218
2021-01-02,2021-01-03 08:00,1837,824,465,265,96,9,2.6967037677517096
2021-01-03,2021-01-04 12:00,1903,824,506,289,66,9,2.793591328269735
2021-01-04,2021-01-05 12:00,2653,942,811,651,700,18,3.894586334156388
2021-01-05,2021-01-06 11:00,3195,982,1062,892,518,29,4.690238725077143
2021-01-06,2021-01-07 11:00,3825,1018,1397,1182,630,31,5.615074530021932
2021-01-07,2021-01-08 11:00,4505,1033,1764,1491,621,34,6.61331000202583
2021-01-08,2021-01-09 11:00,5291,1054,2103,1924,720,42,7.767152768195044
2021-01-10,2021-01-11 11:00,6303,1070,2607,2426,491,43,9.252762029471434
2021-01-11,2021-01-12 11:00,6999,1073,2993,2733,682,44,10.27448539493425
2021-01-12,2021-01-13 11:00,7753,1104,3346,3115,753,60,11.381352374185632
2021-01-13,2021-01-14 11:00,8890,1181,4066,3420,1137,88,13.050460803109797
2021-01-14,2021-01-15 11:00,10134,1197,4786,3927,1099,89,14.87664451954046
2021-01-15,2021-01-16 11:00,11033,1246,5427,4135,899,89,16.196370533263263
2021-01-17,2021-01-18 11:00,11845,1313,5751,4533,,100,17.388381126303212
2021-01-18,2021-01-19 14:00,13256,1484,6522,5023,,106,19.459719730711303
2021-01-19,2021-01-20 10:00,13513,1537,6253,5390,,108,19.836994019395128
2021-01-20,2021-01-21 10:00,14463,1673,6632,5717,,110,21.23158769351822
2021-01-21,2021-01-22 10:00,15599,1937,7033,6209,,113,22.899228129101207
2021-01-22,2021-01-23 10:00,16435,2208,7265,6550,,123,24.12647056232953
2021-01-24,2021-01-25 10:00,17447,2859,7684,6925,,131,25.61207982360592
2021-01-25,2021-01-26 10:00,18597,3233,7874,7012,,139,27.300272165965456
2021-01-26,2021-01-27 10:00,19825,3669,8276,7339,,140,29.102967988937202
2021-01-27,2021-01-28 10:00,20798,4119,8588,7495,,147,30.531325509907486
2021-01-28,2021-01-29 10:00,21985,9009,9105,7857,,154,32.273833605890765
2021-01-29,2021-01-30 10:00,22652,9261,9453,7958,,158,33.2529851644593
2021-01-31,2021-02-01 10:00,24656,10277,10196,8815,,162,36.19484382018843
2021-02-01,2021-02-02 10:00,25682,10708,10630,9191,,170,37.70100498824137
2021-02-02,2021-02-03 10:00,26633,11080,11028,9591,,188,39.09706665570565
2021-02-03,2021-02-04 10:00,27739,11569,11516,9955,,224,40.72066729105317
2021-02-04,2021-02-05 10:00,28986,12178,11941,10465,,236,42.55125498750738
2021-02-05,2021-02-06 10:00,30124,12690,12371,10831,,242,44.221831409772726
2021-02-07,2021-02-08 11:00,31595,13544,12850,11248,,250,46.38124961465175
2021-02-08,2021-02-09 10:00,32424,14037,13056,11526,,255,47.5982160944918
2021-02-09,2021-02-10 10:00,33421,14593,13406,11848,,257,49.06180545565045
2021-02-10,2021-02-11 10:00,34513,15407,13967,12070,,262,50.66485418422142
2021-02-11,2021-02-12 10:00,35776,15886,14683,12232,,279,52.51892977413454
2021-02-12,2021-02-13 08:00,37142,16316,15560,12365,,287,54.52420867818944
2021-02-14,2021-02-15 08:00,39495,17462,16481,12966,,316,57.97839700999116
2021-02-15,2021-02-16 08:00,40592,18139,16807,13192,,341,59.58878570526804
