date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,445,197,222,223,,0,0.2408982418759098
2020-12-28,2020-12-29 08:00,1071,507,471,600,626,0,0.5797798135934817
2020-12-30,2020-12-31 08:30,2040,832,1042,999,541,0,1.1043425020828224
2020-12-31,2021-01-01 12:30,2759,1129,1420,1341,719,0,1.4935690996306408
2021-01-01,2021-01-02 08:00,3042,1129,1703,1341,283,0,1.646769554576444
2021-01-02,2021-01-03 08:00,3704,1439,2010,1696,662,0,2.0051395233895954
2021-01-03,2021-01-04 12:00,4140,1616,2189,1953,436,0,2.2411656659916104
2021-01-04,2021-01-05 12:00,4756,1704,2698,2060,616,0,2.5746337940715214
2021-01-05,2021-01-06 11:00,5901,1996,3495,2122,1145,44,3.1944730905836938
2021-01-06,2021-01-07 11:00,7079,2415,3561,2271,1178,86,3.832176751100147
2021-01-07,2021-01-08 11:00,8471,2788,4313,2352,1392,108,4.585728105462543
2021-01-08,2021-01-09 11:00,9888,3172,5188,2579,1417,116,5.352813068919092
2021-01-10,2021-01-11 11:00,12695,4312,6397,3361,1336,144,6.872366698010505
2021-01-11,2021-01-12 11:00,14273,4944,6649,3675,1578,692,7.726608104033394
2021-01-12,2021-01-13 11:00,15980,5578,6866,3891,1707,1503,8.650682932982109
2021-01-13,2021-01-14 11:00,18150,6274,8161,4195,2129,1729,9.825400202354523
2021-01-14,2021-01-15 11:00,19422,6851,8250,4486,1272,2263,10.51399023306499
2021-01-15,2021-01-16 11:00,21951,7822,9606,5348,1706,2270,11.88305012902943
2021-01-17,2021-01-18 11:00,24893,9376,11180,6583,,1812,13.475685247229265
2021-01-18,2021-01-19 14:00,27115,10290,12216,7421,,1817,14.678552423517514
2021-01-19,2021-01-20 10:00,29628,11096,13718,8118,,1822,16.0389508096617
2021-01-20,2021-01-21 10:00,32210,11873,15377,8744,,1824,17.43670195690574
2021-01-21,2021-01-22 10:00,34601,12679,16812,9380,,1827,18.73105633067046
2021-01-22,2021-01-23 10:00,36978,13585,18148,10163,,1829,20.017831883342456
2021-01-24,2021-01-25 10:00,39932,15040,19387,11254,,1832,21.616963133907483
2021-01-25,2021-01-26 10:00,40597,15854,20601,11883,,1833,21.976957135811933
2021-01-26,2021-01-27 10:00,44231,16787,21699,12259,,1871,23.944202553737902
2021-01-27,2021-01-28 10:00,47092,17713,23482,12703,,1897,25.492988778472682
2021-01-28,2021-01-29 10:00,50687,18740,25874,13186,,1931,27.439121766211773
2021-01-29,2021-01-30 10:00,53742,19539,27950,13540,,1943,29.092928797517178
