date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,590,0,240,350,,0,0.3668839365775823
2020-12-28,2020-12-29 08:00,4170,100,1862,2209,3488,2,2.5930610432686745
2020-12-30,2020-12-31 08:30,11101,173,6349,4651,3640,7,6.903014542284306
2020-12-31,2021-01-01 12:30,11494,178,6583,4804,393,8,7.147396554275814
2021-01-01,2021-01-02 08:00,11494,178,6583,4804,,8,7.147396554275814
2021-01-02,2021-01-03 08:00,11494,178,6583,4804,,8,7.147396554275814
2021-01-03,2021-01-04 12:00,11494,178,6583,4804,,8,7.147396554275814
2021-01-04,2021-01-05 12:00,13832,242,7738,5968,1773,29,8.601251882612065
2021-01-05,2021-01-06 11:00,18014,456,10024,7828,2570,27,11.201774972048419
2021-01-06,2021-01-07 11:00,21713,811,11746,9712,2359,46,13.501950703235668
2021-01-07,2021-01-08 11:00,24060,1260,12515,11130,1792,137,14.961402566197677
2021-01-08,2021-01-09 11:00,25141,1473,13122,11541,779,194,15.633608558469485
2021-01-10,2021-01-11 11:00,25141,1473,13122,11541,0,194,15.633608558469485
2021-01-11,2021-01-12 11:00,26926,1596,13895,12311,1553,342,16.743587925911832
2021-01-12,2021-01-13 11:00,29100,2076,14928,13031,2059,376,18.095461956623126
2021-01-13,2021-01-14 11:00,32998,2516,16644,14696,2284,552,20.51938328675773
2021-01-14,2021-01-15 11:00,35355,2976,17272,15315,2357,591,21.985053521526137
2021-01-15,2021-01-16 11:00,37570,3454,18238,15991,1140,706,23.36242287664367
2021-01-17,2021-01-18 11:00,37564,3452,18238,15987,,706,23.358691853559833
2021-01-18,2021-01-19 14:00,40273,4022,18986,17093,,743,25.04324877591351
2021-01-19,2021-01-20 10:00,42206,4601,19764,17621,,836,26.24526004609057
2021-01-20,2021-01-21 10:00,47466,5817,21873,19547,,906,29.516123616256813
2021-01-21,2021-01-22 10:00,50769,6959,22893,20657,,980,31.570051823910635
2021-01-22,2021-01-23 10:00,53548,8053,23872,21296,,1037,33.29813734890911
2021-01-24,2021-01-25 10:00,53688,8059,23944,21412,,1037,33.385194554198705
2021-01-25,2021-01-26 10:00,57008,8785,25666,22284,,1051,35.449693993923404
2021-01-26,2021-01-27 10:00,62212,9484,29169,23298,,1177,38.68573468197381
2021-01-27,2021-01-28 10:00,66337,10639,31194,24247,,1278,41.250813052113685
2021-01-28,2021-01-29 10:00,69294,11289,25149,20161,,1144,43.08958559526608
2021-01-29,2021-01-30 10:00,71235,11877,25755,20395,,1205,44.29657156288826
2021-01-31,2021-02-01 10:00,71322,11877,25764,20401,,1205,44.35067139760394
2021-02-01,2021-02-02 10:00,73909,12269,34890,26384,,1402,45.95936418391954
2021-02-02,2021-02-03 10:00,75926,12566,35938,27122,,1406,47.21360977727036
2021-02-03,2021-02-04 10:00,78179,13407,36783,27742,,1411,48.61460894525221
2021-02-04,2021-02-05 10:00,80542,13931,37983,28387,,1412,50.08401020310446
2021-02-05,2021-02-06 10:00,82540,14409,38967,28937,,1429,51.32644089002312
