date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,334,42,116,306,,140,0.04178338492455472
2020-12-28,2020-12-29 08:00,835,79,370,552,501,141,0.1044584623113868
2020-12-30,2020-12-31 08:30,2705,296,1512,1423,1178,315,0.3383953779069476
2020-12-31,2021-01-01 12:30,3566,567,1981,2044,861,654,0.4461064390447968
2021-01-01,2021-01-02 08:00,3945,773,2105,2362,379,827,0.49351932193822867
2021-01-02,2021-01-03 08:00,4962,912,2641,2918,1017,982,0.6207459760348518
2021-01-03,2021-01-04 12:00,5394,992,2822,3178,432,1035,0.6747891565360723
2021-01-04,2021-01-05 12:00,8665,1791,4198,5251,3271,1915,1.083991108896008
2021-01-05,2021-01-06 11:00,15164,3341,7376,8940,6499,3112,1.8970157155567298
2021-01-06,2021-01-07 11:00,22608,5209,10900,13321,7444,4698,2.8282597795638713
2021-01-07,2021-01-08 11:00,32170,7075,15989,18332,7975,6226,4.02446554797283
2021-01-08,2021-01-09 11:00,41646,9369,20483,22615,7803,7978,5.209912720263491
2021-01-10,2021-01-11 11:00,45342,9968,22613,25233,513,8519,5.672282153440599
2021-01-11,2021-01-12 11:00,54168,11768,27608,29107,7607,9632,6.776414355069701
2021-01-12,2021-01-13 11:00,63200,13316,32710,33078,7749,10409,7.906317147400773
2021-01-13,2021-01-14 11:00,70444,14524,36884,36307,6679,11194,8.812541220435127
2021-01-14,2021-01-15 11:00,78050,15628,40754,35319,6442,11732,9.764051477130227
2021-01-15,2021-01-16 11:00,86035,16901,45644,38497,7261,13058,10.762974616718758
2021-01-17,2021-01-18 11:00,90340,17897,45166,40361,,17052,11.301529922408005
2021-01-18,2021-01-19 14:00,94953,18692,50517,42528,,14885,11.878616014195343
2021-01-19,2021-01-20 10:00,102806,20162,54912,46141,,16470,12.861025959741834
2021-01-20,2021-01-21 10:00,112272,22031,60234,49844,,17914,14.045222132483854
2021-01-21,2021-01-22 10:00,121715,52069,22363,65185,,24706,15.226541006264005
2021-01-22,2021-01-23 10:00,131180,55737,25547,69884,,25383,16.410612079051162
2021-01-24,2021-01-25 10:00,135814,27405,73098,59500,,21834,16.990325269890644
2021-01-25,2021-01-26 10:00,143881,28968,77047,63144,,22782,17.999506605778016
2021-01-26,2021-01-27 10:00,152734,29524,82832,67027,,24207,19.107016506188444
2021-01-27,2021-01-28 10:00,164650,32148,89094,72603,,26535,20.597707568347108
2021-01-28,2021-01-29 10:00,176162,34567,94897,78142,,28609,22.037858248740744
2021-01-29,2021-01-30 10:00,188224,37289,101279,83545,,30684,23.546813904309545
2021-01-31,2021-02-01 10:00,196370,39012,105606,87331,,32376,24.56587813663117
2021-02-01,2021-02-02 10:00,208258,41949,112025,92164,,33725,26.05306640005364
2021-02-02,2021-02-03 10:00,220200,44751,118071,96922,,35289,27.54701006103877
2021-02-03,2021-02-04 10:00,232421,47789,124652,101428,,36702,29.075856609430936
2021-02-04,2021-02-05 10:00,245738,51436,131550,106323,,38270,30.741812708353976
2021-02-05,2021-02-06 10:00,258788,54907,138501,110570,,39825,32.37436711932834
2021-02-07,2021-02-08 11:00,265117,56714,141472,113613,,42117,33.166124733662194
2021-02-08,2021-02-09 10:00,273061,59614,144906,116654,,42596,34.1599187751013
2021-02-09,2021-02-10 10:00,279784,62008,147912,118991,,43440,35.00096577165155
2021-02-10,2021-02-11 10:00,287292,65244,150839,121345,,44032,35.940216232769984
2021-02-11,2021-02-12 10:00,302152,70246,157872,126832,,46624,37.799201562048076
2021-02-12,2021-02-13 08:00,320822,77507,166773,131649,,48948,40.13481771935777
2021-02-14,2021-02-15 08:00,332969,82264,172242,135122,,50607,41.65440687109
2021-02-15,2021-02-16 08:00,347765,89755,178194,137734,,51479,43.5053858032568
2021-02-16,2021-02-17 10:00,362123,97224,183711,139693,,51974,45.3015709551932
2021-02-17,2021-02-18 08:00,382816,107363,191857,143166,,54254,47.89026432119263
2021-02-18,2021-02-19 08:00,400486,118535,196607,145673,,54986,50.100780523638385
2021-02-19,2021-02-20 08:00,419663,130425,202580,148012,,55980,52.499822358064094
2021-02-21,2021-02-22 08:00,428377,134293,206215,150425,,57757,53.589943364748436
2021-02-22,2021-02-23 08:00,444675,145185,210598,152396,,58744,55.628822429120866
2021-02-23,2021-02-24 08:00,462238,156729,215032,154388,,60043,57.82595293639618
2021-02-24,2021-02-25 08:00,481592,169603,220036,156311,,61459,60.247137462832804
2021-02-25,2021-02-26 10:00,501809,182762,225596,158636,,62748,62.776283250317
2021-02-26,2021-02-27 08:00,523157,195362,233051,160196,,63822,65.44691708675232
2021-02-28,2021-03-01 08:00,531731,198052,238123,161646,,65485,66.5195240997557
2021-03-01,2021-03-02 08:00,549854,208970,243624,163858,,66070,68.78671058175482
2021-03-02,2021-03-03 10:00,569648,221917,248997,165743,,67259,71.26293908833158
2021-03-03,2021-03-04 08:00,590841,235714,254741,167871,,68743,73.91418243176298
2021-03-04,2021-03-05 08:00,618518,253460,263188,170287,,70761,77.37657388253214
2021-03-05,2021-03-06 08:00,646374,269321,273698,171754,,72684,80.86135822522195
2021-03-07,2021-03-08 08:00,663905,277471,282413,173071,,74065,83.05448553394162
2021-03-08,2021-03-09 08:00,689760,294469,289721,174300,,75451,86.2889448669487
2021-03-09,2021-03-10 08:00,717259,311827,297940,175803,,77214,89.72906852575207
2021-03-10,2021-03-11 08:00,746085,328501,307640,177725,,79360,93.33519982465991
2021-03-11,2021-03-12 08:00,776788,349512,315193,178971,,81083,97.17614373884734
2021-03-12,2021-03-13 08:00,808529,364703,329441,180460,,83028,101.14694140618354
2021-03-14,2021-03-15 08:00,830323,370814,344450,180902,,84397,103.87336982248817
2021-03-15,2021-03-16 08:00,868874,383851,367001,182840,,86198,108.69609818244777
2021-03-16,2021-03-17 08:00,890411,401386,369959,183863,,87007,111.39037591035238
2021-03-17,2021-03-18 08:00,919511,423248,376217,184775,,87755,115.03078459689291
2021-03-18,2021-03-19 08:00,946830,445766,379911,185653,,88729,118.4483902638208
