date,publication_date,impfungen_kumulativ,indikation_nach_alter,berufliche_indikation,pflegeheimbewohnerin,differenz_zum_vortag,medizinische_indikation,impfungen_pro_1000_einwohner
2020-12-27,2020-12-28 16:15,809,213,239,553,,344,0.27860304507273814
2020-12-28,2020-12-29 08:00,2495,588,528,1136,1686,584,0.8592269437039328
2020-12-30,2020-12-31 08:30,5581,1385,3361,2241,1747,1175,1.921982193511683
2020-12-31,2021-01-01 12:30,7270,1766,4523,2817,1689,1527,2.5036392307525417
2021-01-01,2021-01-02 08:00,7964,2130,4690,3384,694,1798,2.7426386291214913
2021-01-02,2021-01-03 08:00,8933,2525,5136,3987,969,2077,3.0763424000429787
2021-01-03,2021-01-04 12:00,9557,2801,5317,4512,624,2325,3.2912352308531005
2021-01-04,2021-01-05 12:00,12978,3427,6611,5616,3421,2716,4.469357625406669
2021-01-05,2021-01-06 11:00,17016,4092,8459,6665,3444,2932,5.859962194014477
2021-01-06,2021-01-07 11:00,20078,4842,9282,7768,3062,3234,6.914452334944915
2021-01-07,2021-01-08 11:00,23903,5606,10747,9099,3831,3655,8.231704062266575
2021-01-08,2021-01-09 11:00,28241,6486,12623,10551,3936,3947,9.725622491840788
2021-01-10,2021-01-11 11:00,31431,7457,13050,12323,0,4301,10.824193213450226
2021-01-11,2021-01-12 11:00,38426,11324,15015,16080,3987,5175,13.23312807165023
2021-01-12,2021-01-13 11:00,43162,13202,17149,18056,4611,5452,14.864109556773204
2021-01-13,2021-01-14 11:00,47498,14059,18157,18099,4303,5452,16.35733922727431
2021-01-14,2021-01-15 11:00,52740,14965,19722,18214,4677,5453,18.162576757893955
2021-01-15,2021-01-16 11:00,55670,15838,21709,18262,2563,5456,19.171608799999174
2021-01-17,2021-01-18 11:00,65849,17562,22557,18323,,5458,22.677048102589286
2021-01-18,2021-01-19 14:00,69766,18538,23248,18361,,5460,24.02598274727398
2021-01-19,2021-01-20 10:00,73574,19504,23853,18392,,5461,25.337380022474207
2021-01-20,2021-01-21 10:00,76434,20470,24246,18434,,5463,26.3223054970206
2021-01-21,2021-01-22 10:00,79683,21455,24722,18458,,5463,27.441194611286765
2021-01-22,2021-01-23 10:00,82792,22430,25145,18486,,5464,28.511870590435272
2021-01-24,2021-01-25 10:00,85412,24372,25809,18523,,5465,29.41414497620854
2021-01-25,2021-01-26 10:00,88331,25975,26458,19966,,5934,30.419388843411657
2021-01-26,2021-01-27 10:00,91473,27485,27179,21528,,6273,31.50142934726647
2021-01-27,2021-01-28 10:00,92961,28472,27607,21709,,6295,32.013866097659836
2021-01-28,2021-01-29 10:00,96003,30109,28309,23142,,6868,33.06146864785918
2021-01-29,2021-01-30 10:00,99217,31745,29076,24699,,7191,34.16830447834593
2021-01-31,2021-02-01 10:00,103043,34187,30014,25808,,7556,35.48590058520415
2021-02-01,2021-02-02 10:00,106077,35670,30761,27187,,7741,36.53074809911105
2021-02-02,2021-02-03 10:00,109776,37294,31847,28894,,8166,37.804608004826825
2021-02-03,2021-02-04 10:00,114428,38883,33996,30533,,8454,39.406661608879205
2021-02-04,2021-02-05 10:00,118739,40891,35420,32507,,8794,40.891281790966445
2021-02-05,2021-02-06 10:00,124129,42755,38207,34234,,8951,42.74748749299618
2021-02-07,2021-02-08 11:00,130683,46356,40003,37507,,9700,45.00455097557557
2021-02-08,2021-02-09 10:00,134814,48259,41423,39209,,10170,46.42718284108296
2021-02-09,2021-02-10 10:00,139640,50203,43415,41056,,10349,48.08915848449586
2021-02-10,2021-02-11 10:00,144055,52087,44894,42987,,10580,49.609594138384786
2021-02-11,2021-02-12 10:00,149215,53870,47337,44682,,10790,51.38659254700695
2021-02-12,2021-02-13 08:00,154316,55545,49918,46206,,11136,53.14327256297238
2021-02-14,2021-02-15 08:00,161347,59274,51734,49347,,11663,55.564605084488356
2021-02-15,2021-02-16 08:00,167100,61469,54563,51089,,12161,57.54582055828744
2021-02-16,2021-02-17 10:00,173859,63468,58293,52942,,12410,59.87348184586054
2021-02-17,2021-02-18 08:00,179125,65511,60703,54641,,12660,61.6869844853575
2021-02-18,2021-02-19 08:00,185098,67533,63797,56333,,13062,63.74396345719862
2021-02-19,2021-02-20 08:00,190977,83422,75603,70763,,16782,65.7685707526036
2021-02-21,2021-02-22 08:00,200719,87461,79351,74323,,17291,69.12351619771931
2021-02-22,2021-02-23 08:00,205659,89491,80942,76519,,17583,70.82475110829944
2021-02-23,2021-02-24 08:00,211364,91477,83499,78505,,17763,72.78943636434391
2021-02-24,2021-02-25 08:00,215956,93293,85012,80427,,18046,74.37082719620301
2021-02-25,2021-02-26 10:00,221344,95207,87060,82615,,18175,76.22634413915964
2021-02-26,2021-02-27 08:00,226904,97065,89601,84476,,18272,78.14109436240368
2021-02-28,2021-03-01 08:00,229194,98186,90699,84537,,18274,78.9297235011139
2021-03-01,2021-03-02 08:00,239131,102668,94625,86378,,18310,82.35182295585777
2021-03-02,2021-03-03 10:00,247462,106180,98429,88004,,18343,85.22084887489484
2021-03-03,2021-03-04 08:00,255582,109659,102185,89422,,18423,88.01721071171886
2021-03-04,2021-03-05 08:00,263163,113199,105236,90954,,18508,90.62795197833991
2021-03-05,2021-03-06 08:00,271256,116393,109250,92113,,18551,93.41501556767695
2021-03-07,2021-03-08 08:00,282183,121777,114525,92275,,18591,97.17805076360996
2021-03-08,2021-03-09 08:00,282336,121776,114679,92274,,18591,97.23074083270284
2021-03-09,2021-03-10 08:00,296583,127966,120844,94641,,18710,102.13711608999739
2021-03-10,2021-03-11 08:00,303434,131202,123732,95098,,19015,104.49646029493353
2021-03-11,2021-03-12 08:00,313872,135719,128274,97145,,19464,108.0910938974913
2021-03-12,2021-03-13 08:00,323156,139424,132635,98440,,19792,111.28831351486497
2021-03-14,2021-03-15 08:00,337032,146705,137966,98677,,21033,116.06692396409774
2021-03-15,2021-03-16 08:00,345899,152578,140384,98929,,21659,119.12053731472811
2021-03-16,2021-03-17 08:00,352597,158000,141297,99878,,21942,121.42719145057137
2021-03-17,2021-03-18 08:00,358257,162675,142173,99885,,22143,123.37637962747088
2021-03-18,2021-03-19 08:00,366249,168646,143389,101889,,22507,126.12866088361591
2021-03-19,2021-03-20 08:00,376014,174624,145448,103389,,23790,129.49152705807236
2021-03-21,2021-03-22 08:00,391369,185161,148555,103689,,25583,134.77947484186953
2021-03-22,2021-03-23 08:00,401578,191750,150792,104843,,26547,138.2952455305563
2021-03-23,2021-03-24 08:00,412523,198420,153530,105941,,27781,142.06447955814727
2021-03-24,2021-03-25 08:00,424471,204992,156825,107308,,29191,146.17912626090262
2021-03-25,2021-03-26 08:00,434056,211285,159114,107349,,30510,149.48000411877925
2021-03-26,2021-03-27 08:00,447089,218626,162799,108601,,32258,153.96830261869644
2021-03-28,2021-03-29 08:00,465819,230572,166548,109383,,35619,160.41853133836563
2021-03-29,2021-03-30 08:00,476162,237311,168866,109441,,37554,163.9804488849507
2021-03-30,2021-03-31 08:00,490364,244497,172923,111451,,39703,168.87132706310032
2021-03-31,2021-04-01 08:00,502200,250968,175851,112572,,41855,172.94740325776155
2021-04-02,2021-04-03 08:00,525740,263095,181320,113884,,48140,181.05409754825877
2021-04-05,2021-04-06 08:00,552127,280188,185509,113912,,54481,190.14124037932717
2021-04-06,2021-04-07 08:00,564116,287412,188385,114889,,56483,194.27000664308127
