date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,1655,0,0,189,733,0,40,0,0,0,41,281,0,0,2939
2021-01-18,2021-01-19 14:00,0,0,3140,0,27,289,966,239,78,0,0,0,59,1094,0,0,5892
2021-01-19,2021-01-20 10:00,2019,0,4837,0,35,494,1905,0,82,0,0,0,59,1773,0,0,11204
2021-01-20,2021-01-21 10:00,3673,0,6538,0,111,653,2801,374,254,0,0,0,59,2450,0,17,16930
2021-01-21,2021-01-22 10:00,5758,3075,8310,0,214,653,3709,382,1612,0,0,2044,120,3064,0,80,29021
2021-01-22,2021-01-23 10:00,7627,6235,9977,0,214,960,4333,382,1986,0,0,2463,120,3418,0,80,37795
2021-01-24,2021-01-25 10:00,11475,12216,11860,0,219,1411,6195,388,2185,0,2,3061,310,3914,1,128,53365
2021-01-25,2021-01-26 10:00,13863,31328,12981,21,234,1498,7004,602,3009,0,3,3561,493,4273,927,179,79976
2021-01-26,2021-01-27 10:00,17257,32478,14859,21,333,1769,7783,762,3278,0,5,4147,701,4784,1921,355,90453
2021-01-27,2021-01-28 10:00,20493,33556,16417,21,401,1975,8273,1094,5202,0,17,4802,758,5051,2794,631,101485
2021-01-28,2021-01-29 10:00,25203,33980,18067,50,1362,2411,8645,1313,6951,0,2480,5393,800,5443,4090,871,117059
2021-01-29,2021-01-30 10:00,31093,34542,19979,754,1409,2641,8954,1318,8984,0,4255,6029,892,6127,5468,1050,133495
2021-01-31,2021-02-01 10:00,37527,40199,22515,832,1875,3419,10964,1318,9570,19176,4330,6741,1170,6404,7611,1050,174701
2021-02-01,2021-02-02 10:00,40954,44542,24060,1822,2102,3960,11902,1430,11011,22887,7757,7426,1435,6831,8767,1592,198478
2021-02-02,2021-02-03 10:00,44706,48253,25851,3589,2301,4619,12421,1541,12377,25856,11246,8105,2037,7501,10186,1953,222542
2021-02-03,2021-02-04 10:00,48671,53921,27914,4936,2584,5283,13001,1611,13557,28894,14863,8792,2712,8201,11616,3344,249900
2021-02-04,2021-02-05 10:00,52900,57815,29661,6664,2934,5925,13623,1667,14685,32634,18227,9499,3400,8802,13119,4570,276125
2021-02-05,2021-02-06 10:00,57142,61472,31778,8554,3110,6775,14563,1682,15890,33999,21690,10319,4136,9251,14699,5801,300861
2021-02-07,2021-02-08 11:00,63736,65588,34815,8785,3372,8236,15149,1682,16891,13528,21961,11116,6361,9413,17907,6726,305266
2021-02-08,2021-02-09 10:00,67779,67565,36806,10465,3614,8846,15455,1732,17588,13528,25148,11241,7734,9708,19576,7474,324259
