date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,964,1051,228,20,87,222,1694,240,116,1370,620,4,69,644,239,50,7618
2020-12-28,2020-12-29 08:00,1877,1830,517,47,133,471,2425,1862,370,1788,715,51,551,1678,528,121,14964
2020-12-30,2020-12-31 08:30,4196,13981,2733,2812,408,1042,8681,6349,1512,6610,1941,161,2460,5068,3361,297,61612
2020-12-31,2021-01-01 12:30,5423,18450,2952,2995,408,1420,12345,6583,1981,8963,2329,248,2754,5582,4523,297,77253
2021-01-01,2021-01-02 08:00,6185,19500,3319,2995,408,1703,14480,6583,2105,11846,3166,335,3320,5760,4690,297,86692
2021-01-02,2021-01-03 08:00,7428,25636,3647,2995,465,2010,17635,6583,2641,18806,3516,495,3535,6194,5136,297,107019
2021-01-03,2021-01-04 12:00,8739,31755,6132,3085,506,2189,19405,6583,2822,21354,4213,495,3765,6446,5317,297,123103
2021-01-04,2021-01-05 12:00,9828,38306,6783,3087,811,2698,22051,7738,4198,25744,5435,584,6354,7523,6611,1976,149727
2021-01-05,2021-01-06 11:00,11336,40959,7648,5097,1062,3495,23963,10024,7376,28846,7191,672,8945,8196,8459,2856,176125
2021-01-06,2021-01-07 11:00,12661,41737,8402,7724,1397,3561,25931,11746,10900,33961,9796,813,11072,8461,9282,4096,201540
2021-01-07,2021-01-08 11:00,14560,44516,9109,10391,1764,4313,27009,12515,15989,39465,11833,966,13343,9554,10747,6399,232473
2021-01-08,2021-01-09 11:00,16514,47801,9676,12192,2103,5188,28861,13122,20483,43671,14104,1104,15283,10228,12623,8583,261536
2021-01-10,2021-01-11 11:00,19392,59598,10308,12236,2607,6397,31645,13122,22613,52000,16859,1229,16051,10787,13050,8861,296755
2021-01-11,2021-01-12 11:00,20848,68550,10632,12430,2993,6649,33237,13895,27608,57067,19277,1435,19173,11977,15015,9827,330613
2021-01-12,2021-01-13 11:00,22519,76344,11010,15352,3346,6866,34864,14928,32710,59599,22730,1791,23650,13373,17149,9798,366029
2021-01-13,2021-01-14 11:00,24154,84910,11540,21079,4066,8161,35893,16644,36884,66156,25773,2024,27920,14226,18157,10998,408585
2021-01-14,2021-01-15 11:00,26901,93673,17386,25370,4786,8250,37398,17272,40754,84253,30548,2256,31443,15590,19722,13211,468813
2021-01-15,2021-01-16 11:00,29956,102769,17738,28119,5427,9606,39725,18238,45644,94237,33721,2421,34444,16378,21709,14578,514710
2021-01-17,2021-01-18 11:00,35662,110513,18345,28252,5751,10969,41377,18238,45075,104080,37867,2551,38835,16277,22557,15020,551369
2021-01-18,2021-01-19 14:00,37050,114451,18717,29008,6384,11954,42128,18632,50171,107592,40099,3128,41461,16733,23248,16038,576794
2021-01-19,2021-01-20 10:00,39054,118033,18799,31362,6026,13276,43333,19680,54128,110524,42844,3280,44705,17506,23853,16956,603359
2021-01-20,2021-01-21 10:00,41931,121571,18975,32160,6198,14497,45336,20683,58773,116986,43963,3501,47093,18915,24246,18673,633501
2021-01-21,2021-01-22 10:00,44447,124952,20346,34114,6473,15427,46419,21490,21654,121339,46600,3518,48854,19508,24722,20239,620102
2021-01-22,2021-01-23 10:00,48636,129305,21650,35392,6697,16438,48209,22469,24741,133602,46769,3666,48854,20411,25145,21057,653041
2021-01-24,2021-01-25 10:00,55147,135224,22197,35392,7061,17361,49656,22486,71622,145200,47992,3764,52147,20688,25804,21638,733379
2021-01-25,2021-01-26 10:00,58283,161132,22535,36608,7181,18039,51430,23037,74095,146032,50739,4233,53731,22031,26191,22241,777538
2021-01-26,2021-01-27 10:00,62226,143919,22786,37633,7319,18763,52475,23520,75419,147967,51852,4698,56037,22640,26466,23187,776907
2021-01-27,2021-01-28 10:00,66574,149747,23144,37858,7443,19620,54609,23797,77627,160077,52923,5144,56074,23406,26565,23937,808545
2021-01-28,2021-01-29 10:00,68149,154791,23366,38944,7598,20773,55360,24278,78955,174953,55093,5169,57311,23870,26780,9098,824488
2021-01-29,2021-01-30 10:00,72290,159895,23607,38952,7764,22220,56303,24768,81151,180131,55866,5510,57784,24824,26953,9593,847611
2021-01-31,2021-02-01 10:00,76908,165208,24252,38952,7996,22785,57843,24777,83378,195794,56599,5728,59494,25188,27061,10611,882574
2021-02-01,2021-02-02 10:00,79455,168487,24486,39427,8081,23337,59310,25234,85046,200072,57179,6072,60467,25920,27328,27111,917012
2021-02-02,2021-02-03 10:00,82189,172617,24764,39540,8109,24269,60483,25561,86647,213954,57818,6388,61549,26323,27549,27739,945499
2021-02-03,2021-02-04 10:00,85288,178237,25015,39631,8235,25247,61677,25782,89125,226519,58140,6675,62163,27123,27826,28317,975000
2021-02-04,2021-02-05 10:00,87919,183541,25295,39708,8320,25953,62956,26152,91756,244259,58302,6788,62981,27699,28128,29120,1008877
2021-02-05,2021-02-06 10:00,92072,187528,25692,39806,8460,27098,64137,26657,94335,256454,58769,6850,63887,28696,28542,29894,1038877
2021-02-07,2021-02-08 11:00,98387,194676,28396,40063,8594,27420,65856,26657,96074,276136,59253,6927,65449,28796,29255,30384,1082323
2021-02-08,2021-02-09 10:00,101066,198618,28654,40170,8656,27701,66831,27051,97561,282851,59504,7120,66354,29099,29566,30678,1101480
