date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,,1620,1398,12,,223,1347,350,306,3985,632,211,113,847,553,49,11646
2020-12-28,2020-12-29 08:00,192,2423,3322,60,278,600,1702,2209,552,5348,747,466,305,2292,1136,135,21767
2020-12-30,2020-12-31 08:30,1831,10347,6350,224,510,999,6512,4651,1423,13693,2306,899,192,4815,2241,413,57406
2020-12-31,2021-01-01 12:30,2693,14265,8161,224,237,1341,8513,4804,2044,16334,2783,1080,535,5346,2817,413,71590
2021-01-01,2021-01-02 08:00,3403,14265,9817,224,237,1341,9680,4804,2362,21537,3732,1294,679,5793,3384,413,82965
2021-01-02,2021-01-03 08:00,4200,20428,10968,224,265,1696,11569,4804,2918,29893,3732,1580,807,6410,3987,413,103894
2021-01-03,2021-01-04 12:00,4932,23823,11625,224,289,1953,12955,4804,3178,32495,4069,1580,1100,6702,4512,413,114654
2021-01-04,2021-01-05 12:00,5642,26500,12575,224,651,2060,14561,5968,5251,36956,4456,1823,1385,7804,5616,413,131885
2021-01-05,2021-01-06 11:00,6476,28182,14247,224,892,2122,15925,7828,8940,40387,5145,2156,1821,8588,6665,500,150098
2021-01-06,2021-01-07 11:00,7340,28908,15272,433,1182,2271,16780,9712,13321,45625,6188,2430,1933,8818,7768,583,168564
2021-01-07,2021-01-08 11:00,8088,30110,16773,558,1491,2352,17520,11130,18332,51345,6805,2663,2249,9500,9099,731,188746
2021-01-08,2021-01-09 11:00,9100,31568,18171,908,1924,2579,18148,11541,22615,55287,7597,2938,2707,10214,10551,924,206772
2021-01-10,2021-01-11 11:00,10274,41058,19661,982,2426,3361,20567,11541,25233,62770,9278,3253,3704,10698,12323,924,238053
2021-01-11,2021-01-12 11:00,11326,44715,20422,1162,2733,3675,22059,12311,29107,67578,10085,3535,4527,11655,16080,1249,262219
2021-01-12,2021-01-13 11:00,12781,48443,21428,2009,3115,3891,23182,13031,33078,69881,12341,3790,5770,12736,18056,1491,285023
2021-01-13,2021-01-14 11:00,13719,53456,22520,2545,3420,4195,24013,14696,36307,75918,14084,4124,6667,13632,18099,1491,308886
2021-01-14,2021-01-15 11:00,17614,57247,23282,3545,3927,4486,25588,15315,35319,92556,15874,4461,7888,14302,18214,2150,341768
2021-01-15,2021-01-16 11:00,19421,60466,24288,4502,4135,5348,27404,15991,38497,99628,17121,4899,9006,14678,18262,2582,366228
2021-01-17,2021-01-18 11:00,23375,64585,25336,4790,4533,6369,28459,15987,40119,108365,20048,5560,11166,14609,18323,2892,394516
2021-01-18,2021-01-19 14:00,24404,65949,25739,5561,4866,7085,28916,16540,42040,111115,20986,5808,12201,15002,18361,3262,407835
2021-01-19,2021-01-20 10:00,25164,66990,26239,6931,5085,7534,29791,17326,45373,113033,22451,6049,13870,15423,18392,3262,422913
2021-01-20,2021-01-21 10:00,26213,68388,26718,8143,5215,7963,30734,18071,48475,118941,22744,6274,15032,16074,18434,4065,441484
2021-01-21,2021-01-22 10:00,27997,69814,27854,9440,5411,8599,31235,18851,63373,122634,24392,5385,15873,16519,18458,4293,470128
2021-01-22,2021-01-23 10:00,30365,71126,30979,10428,5752,9027,32033,19490,67709,133599,25293,5506,16873,16728,18486,4569,497963
2021-01-24,2021-01-25 10:00,32956,73565,31435,10428,6093,9534,32741,19497,56636,145536,26621,5511,18984,16838,18523,4836,509734
2021-01-25,2021-01-26 10:00,34977,76200,31943,12087,6132,10059,33296,19671,58397,146150,28791,5533,19840,16955,19792,5192,525015
2021-01-26,2021-01-27 10:00,37012,78081,32102,13303,6253,10313,33975,19778,59197,147799,29224,5538,20992,17018,21012,5700,537297
2021-01-27,2021-01-28 10:00,39324,81003,32362,13307,6263,10673,34713,19954,60788,152060,30306,5550,20992,17382,21184,6051,551912
2021-01-28,2021-01-29 10:00,40124,83801,32500,14348,6379,10951,34999,20161,62284,152846,31133,5688,22030,17645,22060,6380,563329
2021-01-29,2021-01-30 10:00,41822,86020,32679,16268,6387,11187,35601,20395,63814,153129,31901,5700,22307,17748,22822,6613,574393
2021-01-31,2021-02-01 10:00,43386,88536,33012,16268,6764,11393,36796,20401,66073,154051,32738,5717,23358,18119,23406,6788,586806
2021-02-01,2021-02-02 10:00,45472,89551,33152,17209,6825,11701,37338,20627,67500,155896,33233,5726,23848,18362,24445,6936,597821
2021-02-02,2021-02-03 10:00,47268,90878,33503,17341,6931,12005,38103,20869,68824,157272,33323,5743,24365,18722,25348,7051,607546
2021-02-03,2021-02-04 10:00,48863,92457,33613,17536,6957,12249,38902,20937,70489,158878,33567,5861,24689,18979,26067,7197,617241
2021-02-04,2021-02-05 10:00,50207,93476,33896,17536,7031,12403,39412,21117,72566,160500,33843,5923,25219,19091,27207,7512,626939
2021-02-05,2021-02-06 10:00,51870,94361,34346,17662,7132,12741,39883,21498,73950,161821,34275,6131,25668,19308,27898,7818,636362
2021-02-07,2021-02-08 11:00,54383,96010,34597,17662,7290,12777,40860,21498,75426,164640,34993,6221,26698,19338,29062,8356,649811
2021-02-08,2021-02-09 10:00,56109,97113,34802,17968,7336,12829,41080,21569,76766,165511,34943,6598,27209,19498,29621,8376,657328
2021-02-09,2021-02-10 10:00,57722,98045,35020,18160,7356,12973,41515,21696,77739,167250,34956,7055,27692,19964,30567,8524,666234
2021-02-10,2021-02-11 10:00,59288,99630,35386,18270,7429,13289,42000,21944,78743,168683,35447,7521,28118,20543,31503,8654,676448
2021-02-11,2021-02-12 10:00,60781,101140,35808,18488,7443,13433,42660,19361,80104,169815,35492,8023,28548,21353,32155,8844,683448
2021-02-12,2021-02-13 08:00,62130,103046,36490,18588,7453,13525,43187,19484,81137,170571,35513,8388,28976,22103,32601,9087,692279
2021-02-14,2021-02-15 08:00,64076,104917,37049,18588,7497,13735,43584,19483,82219,171632,35554,8792,29723,22405,33551,9504,702309
2021-02-15,2021-02-16 08:00,65444,105870,37764,18610,7509,13753,43773,19740,83007,172676,35559,9289,30112,22890,33898,9699,709593
