date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,dosen_astrazeneca_kumulativ,dosen_erst_astrazeneca_kumulativ,dosen_voll_astrazeneca_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,dosen_erst_differenz_zum_vortag,dosen_voll_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll
2020-12-27,2020-12-28 16:15,3389,3389,0,3389,3389,0,0,0,0,0,0,0,994,994,0,1051,1051,0,68,68,0,1620,1620,0,,,,0.0258214697940233,0.0258214697940233,0,0.258214697940233,0.258214697940233,0
2020-12-28,2020-12-29 08:00,5219,5219,0,5219,5219,0,0,0,0,0,0,0,1457,1457,0,1830,1830,0,91,91,0,2423,2423,0,1830,,,0.03976460633077829,0.03976460633077829,0,0.39764606330778285,0.39764606330778285,0
2020-12-30,2020-12-31 08:30,28206,28206,0,28206,28206,0,0,0,0,0,0,0,5831,5831,0,13981,13981,0,424,424,0,10347,10347,0,15104,,,0.21490716347306615,0.21490716347306615,0,2.1490716347306615,2.1490716347306615,0
2020-12-31,2021-01-01 12:30,37955,37955,0,37955,37955,0,0,0,0,0,0,0,7840,7840,0,18450,18450,0,718,718,0,14265,14265,0,9749,,,0.289186747132533,0.289186747132533,0,2.8918674713253303,2.8918674713253303,0
2021-01-01,2021-01-02 08:00,39005,39005,0,39005,39005,0,0,0,0,0,0,0,7840,7840,0,19500,19500,0,718,718,0,14265,14265,0,1050,,,0.2971869074405072,0.2971869074405072,0,2.9718690744050718,2.9718690744050718,0
2021-01-02,2021-01-03 08:00,57833,57833,0,57833,57833,0,0,0,0,0,0,0,12855,12855,0,25636,25636,0,1091,1091,0,20428,20428,0,11742,,,0.44064121056292405,0.44064121056292405,0,4.40641210562924,4.40641210562924,0
2021-01-03,2021-01-04 12:00,66258,66258,0,66258,66258,0,0,0,0,0,0,0,15480,15480,0,31755,31755,0,1280,1280,0,23823,23823,0,8425,,,0.5048329730340502,0.5048329730340502,0,5.048329730340502,5.048329730340502,0
2021-01-04,2021-01-05 12:00,77876,77876,0,77876,77876,0,0,0,0,0,0,0,18188,18188,0,38306,38306,0,1554,1554,0,26500,26500,0,11618,,,0.593352842041711,0.593352842041711,0,5.93352842041711,5.933528420417111,0
2021-01-05,2021-01-06 11:00,82749,82749,0,82749,82749,0,0,0,0,0,0,0,18957,18957,0,40959,40959,0,1573,1573,0,28182,28182,0,4873,,,0.6304812050710045,0.6304812050710045,0,6.304812050710045,6.304812050710044,0
2021-01-06,2021-01-07 11:00,84349,84349,0,84349,84349,0,0,0,0,0,0,0,19266,19266,0,41737,41737,0,1595,1595,0,28908,28908,0,1600,,,0.6426719255402984,0.6426719255402984,0,6.426719255402984,6.426719255402984,0
2021-01-07,2021-01-08 11:00,88916,88916,0,88916,88916,0,0,0,0,0,0,0,20212,20212,0,44516,44516,0,1609,1609,0,30110,30110,0,4567,,,0.6774688132798394,0.6774688132798394,0,6.774688132798395,6.774688132798395,0
2021-01-08,2021-01-09 11:00,93966,93966,0,93966,93966,0,0,0,0,0,0,0,20665,20665,0,47801,47801,0,1676,1676,0,31568,31568,0,5050,,,0.7159457747610486,0.7159457747610486,0,7.159457747610485,7.159457747610486,0
2021-01-10,2021-01-11 11:00,120136,120136,0,120136,120136,0,0,0,0,0,0,0,27674,27674,0,59598,59598,0,2117,2117,0,41058,41058,0,12109,,,0.9153402464369381,0.9153402464369381,0,9.153402464369382,9.153402464369382,0
