date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,dosen_astrazeneca_kumulativ,dosen_erst_astrazeneca_kumulativ,dosen_voll_astrazeneca_kumulativ,dosen_janssen_kumulativ,dosen_erst_janssen_kumulativ,dosen_voll_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,dosen_erst_differenz_zum_vortag,dosen_voll_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,dosen_kumulativ_impfstelle_zentral,personen_erst_kumulativ_impfstelle_zentral,personen_voll_kumulativ_impfstelle_zentral,dosen_biontech_kumulativ_impfstelle_zentral,dosen_erst_biontech_kumulativ_impfstelle_zentral,dosen_voll_biontech_kumulativ_impfstelle_zentral,dosen_moderna_kumulativ_impfstelle_zentral,dosen_erst_moderna_kumulativ_impfstelle_zentral,dosen_voll_moderna_kumulativ_impfstelle_zentral,dosen_astrazeneca_kumulativ_impfstelle_zentral,dosen_erst_astrazeneca_kumulativ_impfstelle_zentral,dosen_voll_astrazeneca_kumulativ_impfstelle_zentral,dosen_janssen_kumulativ_impfstelle_zentral,dosen_erst_janssen_kumulativ_impfstelle_zentral,dosen_voll_janssen_kumulativ_impfstelle_zentral,dosen_kumulativ_impfstelle_aerzte,personen_erst_kumulativ_impfstelle_aerzte,personen_voll_kumulativ_impfstelle_aerzte,dosen_biontech_kumulativ_impfstelle_aerzte,dosen_erst_biontech_kumulativ_impfstelle_aerzte,dosen_voll_biontech_kumulativ_impfstelle_aerzte,dosen_moderna_kumulativ_impfstelle_aerzte,dosen_erst_moderna_kumulativ_impfstelle_aerzte,dosen_voll_moderna_kumulativ_impfstelle_aerzte,dosen_astrazeneca_kumulativ_impfstelle_aerzte,dosen_erst_astrazeneca_kumulativ_impfstelle_aerzte,dosen_voll_astrazeneca_kumulativ_impfstelle_aerzte,dosen_janssen_kumulativ_impfstelle_aerzte,dosen_erst_janssen_kumulativ_impfstelle_aerzte,dosen_voll_janssen_kumulativ_impfstelle_aerzte,dosen_kumulativ_alter_unter60,personen_erst_kumulativ_alter_unter60,personen_voll_kumulativ_alter_unter60,dosen_kumulativ_impfstelle_zentral_alter_unter60,personen_erst_kumulativ_impfstelle_zentral_alter_unter60,personen_voll_kumulativ_impfstelle_zentral_alter_unter60,dosen_kumulativ_impfstelle_aerzte_alter_unter60,personen_erst_kumulativ_impfstelle_aerzte_alter_unter60,personen_voll_kumulativ_impfstelle_aerzte_alter_unter60,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,dosen_kumulativ_impfstelle_zentral_alter_60plus,personen_erst_kumulativ_impfstelle_zentral_alter_60plus,personen_voll_kumulativ_impfstelle_zentral_alter_60plus,dosen_kumulativ_impfstelle_aerzte_alter_60plus,personen_erst_kumulativ_impfstelle_aerzte_alter_60plus,personen_voll_kumulativ_impfstelle_aerzte_alter_60plus
2020-12-27,2020-12-28 16:15,334,334,0,334,334,0,0,0,0,0,0,0,0,0,0,42,42,0,116,116,0,140,140,0,306,306,0,,,,0.0041783384924554716,0.0041783384924554716,0,0.04178338492455472,0.04178338492455472,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,835,835,0,835,835,0,0,0,0,0,0,0,0,0,0,79,79,0,370,370,0,141,141,0,552,552,0,501,,,0.01044584623113868,0.01044584623113868,0,0.1044584623113868,0.1044584623113868,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,2705,2705,0,2705,2705,0,0,0,0,0,0,0,0,0,0,296,296,0,1512,1512,0,315,315,0,1423,1423,0,1178,,,0.03383953779069476,0.03383953779069476,0,0.3383953779069476,0.3383953779069476,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,3566,3566,0,3566,3566,0,0,0,0,0,0,0,0,0,0,567,567,0,1981,1981,0,654,654,0,2044,2044,0,861,,,0.04461064390447968,0.04461064390447968,0,0.4461064390447968,0.4461064390447968,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,3945,3945,0,3945,3945,0,0,0,0,0,0,0,0,0,0,773,773,0,2105,2105,0,827,827,0,2362,2362,0,379,,,0.04935193219382286,0.04935193219382286,0,0.49351932193822867,0.49351932193822867,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,4962,4962,0,4962,4962,0,0,0,0,0,0,0,0,0,0,912,912,0,2641,2641,0,982,982,0,2918,2918,0,1017,,,0.06207459760348519,0.06207459760348519,0,0.6207459760348518,0.6207459760348518,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,5394,5394,0,5394,5394,0,0,0,0,0,0,0,0,0,0,992,992,0,2822,2822,0,1035,1035,0,3178,3178,0,432,,,0.06747891565360724,0.06747891565360724,0,0.6747891565360723,0.6747891565360724,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,8665,8665,0,8665,8665,0,0,0,0,0,0,0,0,0,0,1791,1791,0,4198,4198,0,1915,1915,0,5251,5251,0,3271,,,0.10839911088960079,0.10839911088960079,0,1.083991108896008,1.083991108896008,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,15164,15164,0,15164,15164,0,0,0,0,0,0,0,0,0,0,3341,3341,0,7376,7376,0,3112,3112,0,8940,8940,0,6499,,,0.189701571555673,0.189701571555673,0,1.8970157155567298,1.89701571555673,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,22608,22608,0,22608,22608,0,0,0,0,0,0,0,0,0,0,5209,5209,0,10900,10900,0,4698,4698,0,13321,13321,0,7444,,,0.28282597795638714,0.28282597795638714,0,2.8282597795638713,2.8282597795638713,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,32170,32170,0,32170,32170,0,0,0,0,0,0,0,0,0,0,7075,7075,0,15989,15989,0,6226,6226,0,18332,18332,0,7975,,,0.40244655479728303,0.40244655479728303,0,4.02446554797283,4.02446554797283,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,41646,41646,0,41646,41646,0,0,0,0,0,0,0,0,0,0,9369,9369,0,20483,20483,0,7978,7978,0,22615,22615,0,7803,,,0.5209912720263491,0.5209912720263491,0,5.209912720263491,5.209912720263491,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,45342,45342,0,45342,45342,0,0,0,0,0,0,0,0,0,0,9968,9968,0,22613,22613,0,8519,8519,0,25233,25233,0,513,,,0.5672282153440599,0.5672282153440599,0,5.672282153440599,5.672282153440599,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,54168,54168,0,54168,54168,0,0,0,0,0,0,0,0,0,0,11768,11768,0,27608,27608,0,9632,9632,0,29107,29107,0,7607,,,0.6776414355069701,0.6776414355069701,0,6.776414355069701,6.776414355069701,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,63200,63200,0,63200,63200,0,0,0,0,0,0,0,0,0,0,13316,13316,0,32710,32710,0,10409,10409,0,33078,33078,0,7749,,,0.7906317147400773,0.7906317147400773,0,7.906317147400773,7.906317147400773,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
