date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,dosen_astrazeneca_kumulativ,dosen_erst_astrazeneca_kumulativ,dosen_voll_astrazeneca_kumulativ,dosen_janssen_kumulativ,dosen_erst_janssen_kumulativ,dosen_voll_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,dosen_erst_differenz_zum_vortag,dosen_voll_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,dosen_kumulativ_impfstelle_zentral,personen_erst_kumulativ_impfstelle_zentral,personen_voll_kumulativ_impfstelle_zentral,dosen_biontech_kumulativ_impfstelle_zentral,dosen_erst_biontech_kumulativ_impfstelle_zentral,dosen_voll_biontech_kumulativ_impfstelle_zentral,dosen_moderna_kumulativ_impfstelle_zentral,dosen_erst_moderna_kumulativ_impfstelle_zentral,dosen_voll_moderna_kumulativ_impfstelle_zentral,dosen_astrazeneca_kumulativ_impfstelle_zentral,dosen_erst_astrazeneca_kumulativ_impfstelle_zentral,dosen_voll_astrazeneca_kumulativ_impfstelle_zentral,dosen_janssen_kumulativ_impfstelle_zentral,dosen_erst_janssen_kumulativ_impfstelle_zentral,dosen_voll_janssen_kumulativ_impfstelle_zentral,dosen_kumulativ_impfstelle_aerzte,personen_erst_kumulativ_impfstelle_aerzte,personen_voll_kumulativ_impfstelle_aerzte,dosen_biontech_kumulativ_impfstelle_aerzte,dosen_erst_biontech_kumulativ_impfstelle_aerzte,dosen_voll_biontech_kumulativ_impfstelle_aerzte,dosen_moderna_kumulativ_impfstelle_aerzte,dosen_erst_moderna_kumulativ_impfstelle_aerzte,dosen_voll_moderna_kumulativ_impfstelle_aerzte,dosen_astrazeneca_kumulativ_impfstelle_aerzte,dosen_erst_astrazeneca_kumulativ_impfstelle_aerzte,dosen_voll_astrazeneca_kumulativ_impfstelle_aerzte,dosen_janssen_kumulativ_impfstelle_aerzte,dosen_erst_janssen_kumulativ_impfstelle_aerzte,dosen_voll_janssen_kumulativ_impfstelle_aerzte,dosen_kumulativ_alter_unter60,personen_erst_kumulativ_alter_unter60,personen_voll_kumulativ_alter_unter60,dosen_kumulativ_impfstelle_zentral_alter_unter60,personen_erst_kumulativ_impfstelle_zentral_alter_unter60,personen_voll_kumulativ_impfstelle_zentral_alter_unter60,dosen_kumulativ_impfstelle_aerzte_alter_unter60,personen_erst_kumulativ_impfstelle_aerzte_alter_unter60,personen_voll_kumulativ_impfstelle_aerzte_alter_unter60,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,dosen_kumulativ_impfstelle_zentral_alter_60plus,personen_erst_kumulativ_impfstelle_zentral_alter_60plus,personen_voll_kumulativ_impfstelle_zentral_alter_60plus,dosen_kumulativ_impfstelle_aerzte_alter_60plus,personen_erst_kumulativ_impfstelle_aerzte_alter_60plus,personen_voll_kumulativ_impfstelle_aerzte_alter_60plus
2020-12-27,2020-12-28 16:15,99,99,0,99,99,0,0,0,0,0,0,0,0,0,0,49,49,0,50,50,0,,,0,49,49,0,,,,0.004640527838948372,0.004640527838948372,0,0.04640527838948372,0.04640527838948372,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,257,257,0,257,257,0,0,0,0,0,0,0,0,0,0,135,135,0,121,121,0,,,0,135,135,0,158,,,0.012046622773835673,0.012046622773835673,0,0.12046622773835673,0.12046622773835673,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,810,810,0,810,810,0,0,0,0,0,0,0,0,0,0,232,232,0,297,297,0,0,0,0,413,413,0,138,,,0.03796795504594123,0.03796795504594123,0,0.37967955045941226,0.37967955045941226,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,810,810,0,810,810,0,0,0,0,0,0,0,0,0,0,232,232,0,297,297,0,0,0,0,413,413,0,0,,,0.03796795504594123,0.03796795504594123,0,0.37967955045941226,0.37967955045941226,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,810,810,0,810,810,0,0,0,0,0,0,0,0,0,0,232,232,0,297,297,0,,,0,413,413,0,,,,0.03796795504594123,0.03796795504594123,0,0.37967955045941226,0.37967955045941226,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,810,810,0,810,810,0,0,0,0,0,0,0,0,0,0,232,232,0,297,297,0,,,0,413,413,0,,,,0.03796795504594123,0.03796795504594123,0,0.37967955045941226,0.37967955045941226,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,810,810,0,810,810,0,0,0,0,0,0,0,0,0,0,232,232,0,297,297,0,0,0,0,413,413,0,,,,0.03796795504594123,0.03796795504594123,0,0.37967955045941226,0.37967955045941226,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,2715,2715,0,2715,2715,0,0,0,0,0,0,0,0,0,0,446,446,0,1976,1976,0,1,1,0,413,413,0,493,,,0.12726296043176596,0.12726296043176596,0,1.2726296043176597,1.2726296043176597,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,3711,3711,0,3711,3711,0,0,0,0,0,0,0,0,0,0,468,468,0,2856,2856,0,7,7,0,500,500,0,500,,,0.1739494829327011,0.1739494829327011,0,1.739494829327011,1.739494829327011,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,5343,5343,0,5343,5343,0,0,0,0,0,0,0,0,0,0,650,650,0,4096,4096,0,21,21,0,583,583,0,1165,,,0.2504478812474864,0.2504478812474864,0,2.5044788124748636,2.504478812474864,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
