date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,2084,3389,1626,100,420,445,3112,590,334,5405,1252,215,182,1504,809,99,21566
2020-12-28,2020-12-29 08:00,4721,5219,3839,107,592,1071,4354,4170,835,7136,1462,862,857,3985,2495,257,41962
2020-12-30,2020-12-31 08:30,12649,28206,9084,3036,1691,2040,15674,11101,2705,19930,4247,2119,2653,10100,5581,810,131626
2020-12-31,2021-01-01 12:30,17086,37955,11114,3219,1741,2759,21373,11494,3566,24924,5112,2716,3290,11146,7270,810,165575
2021-01-01,2021-01-02 08:00,20045,39005,13137,3219,1741,3042,24791,11494,3945,33375,6898,3316,4000,11771,7964,810,188553
2021-01-02,2021-01-03 08:00,24063,57833,14616,3219,1837,3704,30085,11494,4962,48691,7248,4149,4343,12822,8933,810,238809
2021-01-03,2021-01-04 12:00,27454,66258,17758,3309,1903,4140,33405,11494,5394,53841,8282,4149,4866,13366,9557,810,265986
2021-01-04,2021-01-05 12:00,32182,77876,19389,3334,2653,4756,37795,13832,8665,62692,9891,4836,7740,15628,12978,2715,316962
2021-01-05,2021-01-06 11:00,37840,82749,21955,5404,3195,5901,41298,18014,15164,69225,12336,5633,10767,17123,17016,3711,367331
2021-01-06,2021-01-07 11:00,42899,84349,24159,8182,3825,7079,44122,21713,22608,79578,15984,6511,13006,17624,20078,5343,417060
2021-01-07,2021-01-08 11:00,49103,88916,26406,11481,4505,8471,46006,24060,32170,90802,20792,7358,15593,19399,23903,7994,476959
2021-01-08,2021-01-09 11:00,55320,93966,28871,13895,5291,9888,48653,25141,41646,98950,25482,8232,17991,20799,28241,10512,532878
2021-01-10,2021-01-11 11:00,65488,120136,32014,14063,6303,12695,54361,25141,45342,114762,29994,9157,19756,21914,31431,10790,613347
2021-01-11,2021-01-12 11:00,73776,135986,33798,15091,6999,14273,57475,26926,54168,124637,36466,10130,23701,24413,38426,12517,688782
2021-01-12,2021-01-13 11:00,76762,150511,35893,19590,7753,15980,60344,29100,63200,129472,45326,11199,29421,27320,43162,13060,758093
2021-01-13,2021-01-14 11:00,82300,167915,38408,27102,8890,18150,62171,32998,70444,142066,54189,12243,34588,29448,47498,14045,842455
2021-01-14,2021-01-15 11:00,92868,183573,45998,33263,10134,19422,65673,35355,78050,176801,64219,13301,39332,31723,52740,19230,961682
2021-01-15,2021-01-16 11:00,100163,198607,48544,37993,11033,21951,69925,37570,86035,193857,73749,14421,43451,33182,55670,22009,1048160
2021-01-17,2021-01-18 11:00,114954,213837,54095,38474,11845,24893,74552,37444,89101,212747,82255,15711,50157,33827,65849,23413,1143154
2021-01-18,2021-01-19 14:00,126194,214043,58637,41094,12823,26960,77071,39902,93575,223292,90325,16957,54031,37338,69716,25996,1207954
2021-01-19,2021-01-20 10:00,135587,220700,62967,46194,12340,29418,83320,41718,101255,228932,98211,17759,59715,41272,73474,29354,1282216
2021-01-20,2021-01-21 10:00,146311,228991,67995,50671,13288,32000,94369,46863,110422,251972,103844,18612,64677,46196,76334,32820,1385365
2021-01-21,2021-01-22 10:00,157480,246963,75072,55573,14341,34391,100110,50092,119826,265755,112029,19277,68071,48934,79435,36200,1483549
2021-01-22,2021-01-23 10:00,172876,282464,82425,59545,15177,36668,107304,52587,129276,293315,118824,20073,71053,51559,82483,38856,1614485
2021-01-24,2021-01-25 10:00,196512,313802,91170,59545,16556,39622,123506,52727,133910,337831,123387,21059,75693,53331,85103,40813,1764567
2021-01-25,2021-01-26 10:00,209171,367229,96097,63024,17339,40287,133933,55946,141977,346136,130368,22348,79897,56227,88022,43377,1891378
2021-01-26,2021-01-27 10:00,225676,355906,101705,68478,18567,43921,141478,60882,150830,357370,135821,23767,85998,59175,91164,46490,1967228
2021-01-27,2021-01-28 10:00,239166,372265,106744,72621,19540,46782,150343,64835,162745,384204,139172,25217,89659,61955,92652,50898,2078798
2021-01-28,2021-01-29 10:00,251704,386238,111661,78783,20728,50277,156885,67629,174257,403653,145294,26695,93454,64667,95661,56230,2183816
2021-01-29,2021-01-30 10:00,267545,400027,119248,85926,21395,53222,163787,69570,186319,412723,151145,28110,97322,68173,98819,60000,2283331
