date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
,,624,994,1416,80,205,197,1086,,42,,,168,90,669,213,49,5833
,,1720,1457,3340,60,276,507,1480,100,79,,,658,240,1592,588,135,12232
,,5347,5831,6554,204,821,832,4677,173,296,0,0,1641,150,3107,1385,232,31250
,,7578,7840,7029,204,821,1129,6073,178,567,,,2065,226,3506,1766,232,39214
,,9087,7840,8662,204,821,1129,6909,178,773,,,2508,297,3782,2130,232,44552
,,11041,12855,9817,204,824,1439,8443,178,912,,,3122,368,4237,2525,232,56197
,,12584,15480,10507,204,824,1616,9387,178,992,0,0,3122,487,4391,2801,232,62805
,,15546,18188,11608,227,942,1704,10329,242,1791,0,0,3655,662,4967,3427,446,73734
,,18907,18957,13487,287,982,1996,11393,456,3341,,,4279,820,5402,4092,468,84867
,,22030,19266,15037,436,1018,2415,11916,811,5209,,,4940,858,5569,4842,650,94997
,,25827,20212,16673,1029,1033,2788,12286,1260,7075,0,2154,5596,985,6008,5606,782,109314
,,29263,20665,18591,1608,1054,3172,12574,1473,9369,0,3777,6236,1024,6427,6486,903,122622
,,35369,27674,21120,1682,1070,4312,14595,1473,9968,,3852,6956,1357,6860,7457,903,144648
,,38372,31681,22634,2426,1073,4944,15315,1596,11768,0,7095,7656,1805,7572,11324,1074,166335
,,41457,35434,24446,3920,1104,5578,15955,2076,13316,0,10246,8358,2210,8533,13202,1149,186984
,,44631,40128,26527,5612,1181,6274,16135,2516,14524,,14321,9064,2528,9342,14059,1150,207992
,,49161,44096,28323,7410,1197,6851,17201,2976,15628,0,17781,9796,3005,10103,14965,3428,231921
,,52522,47873,30563,9067,1246,7822,18056,3454,16901,0,22896,10634,3555,10605,15838,4383,255415
,,58770,52396,34017,9387,1313,9187,18718,3452,17857,,24876,11626,4303,10575,17562,5024,279063
,,62507,53985,36186,11184,1457,10001,18945,3783,18614,0,30312,12177,4539,11204,18538,6144,299576
,,65325,55636,38195,13698,1502,10602,20172,4601,20080,0,33946,12754,5283,11792,19504,6144,319234
,,68463,57100,40253,16170,1562,11220,22690,5443,21777,0,37831,13307,5703,12602,20470,8915,343506
,,72279,58457,42928,19012,1723,12026,23878,6577,50457,0,41365,11756,5995,13089,21455,10160,391157
,,78992,60054,45776,21558,1994,12625,26457,7671,53751,0,44934,11904,5995,13584,22430,11413,419138
,,87257,63298,51867,21558,2640,13629,32401,7671,25220,0,45138,11987,7213,13671,24371,12315,420236
,,91942,96764,55186,23217,2999,14356,37101,8183,25959,0,48321,12382,7525,14158,25048,13549,476690
,,96829,100537,58189,25325,3336,15018,40228,8722,26246,0,51774,12775,7892,14741,25564,14989,502165
,,101428,105283,60931,26888,3718,15738,43502,9545,26946,0,51767,13127,8318,15600,25678,16265,524734
,,118254,109803,63008,28818,7647,16329,46771,9976,27616,0,52012,13584,8710,16198,26019,17507,562252
,,126225,113482,65564,31554,7852,16898,50192,10559,28305,0,52078,13922,9337,16569,26277,18698,587512
,,134496,117652,70467,31554,8402,17916,54562,10559,29442,53909,52078,14253,11599,16822,26576,19706,669993
,,138565,120160,73051,32798,8606,18558,57107,10839,30938,54821,52120,14568,12983,17502,26903,20690,690209
,,142557,123008,75899,33344,8779,19224,58840,11025,32374,55279,52153,14878,14395,18031,27108,21722,708616
,,146558,126563,78328,33994,8985,19746,61584,11796,34232,55916,52279,15291,15375,18545,27267,23607,730066
,,149857,130068,80459,34426,9244,20214,64621,12264,36751,56626,52395,15548,16314,19328,27772,25582,751469
,,154667,133787,82867,34973,9580,20811,67731,12727,39017,57037,52459,15867,17890,19941,28056,27465,774875
,,162682,140722,87035,34973,10172,21450,72597,12727,39823,57791,52463,16155,19854,19963,28449,27724,804580
,,166791,145260,88790,35589,10423,22327,76791,13022,42026,61434,52473,16598,20993,20283,28683,28809,830292
,,171862,151755,90672,36076,10652,23155,80196,13381,43927,66264,52495,17141,23046,20833,29058,30785,861298
,,177265,158372,92558,36493,11192,24145,82989,14268,46503,90898,52512,18200,24328,21647,29366,32429,913165
,,182559,165993,93830,37001,11441,25051,86376,13936,49769,97299,52524,19296,25944,22653,29555,34062,947289
,,188056,173693,95140,37395,11653,25845,88783,14342,55182,109326,52543,20380,27575,23291,29641,35959,988804
,,196742,184032,96747,37395,12071,27280,94129,14341,58867,128912,52565,21413,30496,23669,30120,36360,1045139
,,201945,189919,98211,37425,12256,28217,97013,14760,65499,142608,52624,22085,32278,24414,31411,38091,1088756
,,209427,195716,99693,37673,12501,29250,99515,15364,72508,152737,52695,22601,33925,24967,32717,42825,1134114
,,215952,203382,101321,37733,12890,30165,102621,16426,81927,164184,57732,23345,37587,25913,34016,44745,1189939
,,222745,211398,102946,38133,13207,31107,105493,17025,92432,167721.988,61991,23883,41160,27619,35311,46849,1239020.988
,,230737,220060,104560,38145,13536,32440,108081,17593,103684,170921.914,65009,24375,45718,28819,49730,48470,1301878.9139999999
,,242098,236957,107654,38145,14116,34310,113016,17593,106542,203282,65270,24866,54878,28824,52137,48909,1388597
,,249252,246948,109142,38763,14448,35658,116115,18447,115972,214638,68302,25373,59147,30396,53313,50957,1446871
,,256849,257408,110629,40144,14876,36710,120017,19532,126169,221094,71561,26033,63096,31774,54504,52938,1503334
,,263949,270445,112335,41483,15269,37701,124898,20937,137594,231230,74279,26705,66598,32921,55726,54815,1566885
,,272681,282100,115440,42935,15681,38919,130297,22334,148657,238913,76099,27395,70787,34401,57035,56741,1630415
,,281976,294009,118647,44286,16122,39958,134863,23316,159115,242173,76396,28061,74947,35616,58245,58662,1686392
,,295270,309219,125251,44286,16855,42254,145367,23316,161111,267686,76484,28734,74947,35700,59359,59000,1764839
,,302499,318776,129080,45444,17056,43456,151488,24045,169794,290565,82852,30543,78693,37700,63462,60861,1846314
,,310245,330441,132747,46473,17560,44608,157596,25925,180747,302941,89069,32326,91165,39905,66393,62724,1930865
,,318116,330441,137085,47459,18259,45736,163751,28343,191568,323123,92431,34228,95415,42613,69485,64309,2004260
,,326233,354388,142291,48287,18850,47254,168950,30535,206332,333595,94019,35875,99351,44712,72464,65608,2088744
,,336271,365662,147529,49428,19475,48712,175491,31259,217196,349251,95066,37519,102288,46388,75484,67140,2164159
,,349555,382200,157730,49495,20634,51298,183046,31283,221549,379481,95254,39177,108272,46541,80845,67512,2263872
,,356602,396631,163335,52508,21121,53080,188902,32026,232345,397345,100416,40901,111965,48525,80845,69098,2345645
,,362808,412020,169069,56223,21948,54869,194261,34711,242623,411140,105693,42593,115558,50699,86468,70699,2431382
,,368339,428731,174886,60260,22663,56511,199388,36989,250613,427020,109090,43670,118041,53669,89670,73072,2512612
,,376084,447890,181014,65615,23281,58149,204465,39566,261319,438117,111016,44684,119726,56471,94051,76278,2597726
,,385183,464708,187410,70320,23818,59778,209437,41295,266223,478591,112869,45719,121524,59469,97726,79691,2703761
,,400288,494119,200279,75063,24673,62861,217885,41295,269508,482273,113297,46692,124235,60501,104969,84422,2802360
,,409111,512968,206583,78339,24893,64307,222351,42501,274276,499111,119165,48166,125269,64351,110702,87759,2889852
,,416296,525061,212215,82081,25472,65318,225995,44154,282156,512432,123721,49702,125993,67879,116092,89954,2964521
,,423804,535337,218963,88191,26040,66238,232870,45998,292978,527513,129056,51376,126616,72199,120721,92356,3050256
,,433522,546448,224345,94106,26620,67106,232737,47854,305007,538171,133887,53115,127219,76493,126527,94673,3127830
,,445309,555587,229530,98924,27147,67993,237431,48822,316257,546695,137377,54762,127990,81133,132218,99633,3206808
,,466133,576661,241578,104158,28744,69533,242522,48936,323644,585827,140193,56344,130124,83075,142671,105349,3345492
,,477019,591717,246958,108202,30335,70306,242522,51498,335895,606212,146145,57652,131447,86162,148042,109431,3439543
,,486518,608426,252777,114815,31759,71023,242522,54686,354843,620022,190148,58882,132081,90481,153511,113430,3575924
,,495580,628261,259202,122561,33228,71987,242522,58396,367362,635657,195874,60128,132944,94971,158898,116977,3674548
,,503176,647005,266552,130303,34580,72848,254777,61683,381373,646826,201537,61376,134001,100186,164080,120770,3781073
,,516041,665653,273338,138584,35939,73840,257676,63945,395051,662334,206103,62638,135157,101323,170128,124508,3882258
,,539160,693618,284490,145597,38919,79268,262805,66207,409408,729974,208698,63946,137345,105032,179812,132503,4076782
,,550874,707993,289603,150345,40288,80654,266180,68634,422958,736485,215205,65209,137960,109784,185462,135813,4163447
,,565785,723774,294351,155808,41833,78243,268459,71412,439087,768992,210382,66439,138364,114627,191089,138827,4267472
,,581865,738280,298147,161036,43394,79344,270731,74303,455980,774918,217822,67734,138941,120757,196278,142153,4361683
,,615940,762855,307964,166780,46904,81504,275358,76752,476088,813584,228532,70565,141594,127634,206104,148373,4546531
,,652924,798742,332540,170009,52956,86765,280679,79586,486943,890442,234603,76338,143971,134347,218064,151316,4790225
,,667934,816031,339903,174006,54775,89930,282248,82270,503701,919450,239778,78954,145450,139845,221975,153862,4910112
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
