date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
,,964,1051,228,20,87,222,1694,240,116,1370,620,4,69,644,239,50,7618
,,1877,1830,517,47,133,471,2425,1862,370,1788,715,51,551,1678,528,121,14964
,,4196,13981,2733,2812,408,1042,8681,6349,1512,6610,1941,161,2460,5068,3361,297,61612
,,5423,18450,2952,2995,408,1420,12345,6583,1981,8963,2329,248,2754,5582,4523,297,77253
,,6185,19500,3319,2995,408,1703,14480,6583,2105,11846,3166,335,3320,5760,4690,297,86692
,,7428,25636,3647,2995,465,2010,17635,6583,2641,18806,3516,495,3535,6194,5136,297,107019
,,8739,31755,6132,3085,506,2189,19405,6583,2822,21354,4213,495,3765,6446,5317,297,123103
,,9828,38306,6783,3087,811,2698,22051,7738,4198,25744,5435,584,6354,7523,6611,1976,149727
,,11336,40959,7648,5097,1062,3495,23963,10024,7376,28846,7191,672,8945,8196,8459,2856,176125
,,12661,41737,8402,7724,1397,3561,25931,11746,10900,33961,9796,813,11072,8461,9282,4096,201540
,,14560,44516,9109,10391,1764,4313,27009,12515,15989,39465,11833,966,13343,9554,10747,6399,232473
,,16514,47801,9676,12192,2103,5188,28861,13122,20483,43671,14104,1104,15283,10228,12623,8583,261536
,,19392,59598,10308,12236,2607,6397,31645,13122,22613,52000,16859,1229,16051,10787,13050,8861,296755
,,20848,68550,10632,12430,2993,6649,33237,13895,27608,57067,19277,1435,19173,11977,15015,9827,330613
,,22519,76344,11010,15352,3346,6866,34864,14928,32710,59599,22730,1791,23650,13373,17149,9798,366029
,,24154,84910,11540,21079,4066,8161,35893,16644,36884,66156,25773,2024,27920,14226,18157,10998,408585
,,26901,93673,17386,25370,4786,8250,37398,17272,40754,84253,30548,2256,31443,15590,19722,13211,468813
,,29956,102769,17738,28119,5427,9606,39725,18238,45644,94237,33721,2421,34444,16378,21709,14578,514710
,,35662,110513,18345,28252,5751,10969,41377,18238,45075,104080,37867,2551,38835,16277,22557,15020,551369
,,37050,114451,18717,29008,6384,11954,42128,18632,50171,107592,40099,3128,41461,16733,23248,16038,576794
,,39054,118033,18799,31362,6026,13276,43333,19680,54128,110524,42844,3280,44705,17506,23853,16956,603359
,,41931,121571,18975,32160,6198,14497,45336,20683,58773,116986,43963,3501,47093,18915,24246,18673,633501
,,44447,124952,20346,34114,6473,15427,46419,21490,21654,121339,46600,3518,48854,19508,24722,20239,620102
,,48636,129305,21650,35392,6697,16438,48209,22469,24741,133602,46769,3666,48854,20411,25145,21057,653041
,,55147,135224,22197,35392,7061,17361,49656,22486,71622,145200,47992,3764,52147,20688,25804,21638,733379
,,58283,161132,22535,36608,7181,18039,51430,23037,74095,146032,50739,4233,53731,22031,26191,22241,777538
,,62226,143919,22786,37633,7319,18763,52475,23520,75419,147967,51852,4698,56037,22640,26466,23187,776907
,,66574,149747,23144,37858,7443,19620,54609,23797,77627,160077,52923,5144,56074,23406,26565,23937,808545
,,68149,154791,23366,38944,7598,20773,55360,24278,78955,174953,55093,5169,57311,23870,26780,9098,824488
,,72290,159895,23607,38952,7764,22220,56303,24768,81151,180131,55866,5510,57784,24824,26953,9593,847611
,,76908,165208,24252,38952,7996,22785,57843,24777,83378,195794,56599,5728,59494,25188,27061,10611,882574
,,79455,168487,24486,39427,8081,23337,59310,25234,85046,200072,57179,6072,60467,25920,27328,27111,917012
,,82189,172617,24764,39540,8109,24269,60483,25561,86647,213954,57818,6388,61549,26323,27549,27739,945499
,,85288,178237,25015,39631,8235,25247,61677,25782,89125,226519,58140,6675,62163,27123,27826,28317,975000
,,87919,183541,25295,39708,8320,25953,62956,26152,91756,244259,58302,6788,62981,27699,28128,29120,1008877
,,92072,187528,25692,39806,8460,27098,64137,26657,94335,256454,58769,6850,63887,28696,28542,29894,1038877
,,98387,194676,28396,40063,8594,27420,65856,26657,96074,276136,59253,6927,65449,28796,29255,30384,1082323
,,101066,198618,28654,40170,8656,27701,66831,27051,97561,282851,59504,7120,66354,29099,29566,30678,1101480
,,103845,203476,28927,40298,8749,28012,68590,27230,98621,291972,59656,7234,67303,29379,29707,31284,1124283
,,106920,210226,29326,40378,8852,29271,70183,27534,99916,301617,60209,7655,68043,29685,29930,31896,1151641
,,109588,215461,29758,40486,9027,30490,72067,27730,102388,312856,60758,8087,68838,30889,30762,32328,1181513
,,112361,221220,30248,40843,9218,31785,73402,28551,105215,322627,61215,8533,69691,33504,31296,32907,1212616
,,116422,229871,31061,40879,9778,32676,75425,28586,106698,335396,62954,8890,71260,34195,31586,35055,1250732
,,118676,234218,31449,40904,9947,33248,76296,29060,109707,345899,64582,9384,72051,34964,32873,36546,1279804
,,121969,239260,36952,40971,10298,34166,78374,29526,113570,354929,66752,10153,72799,35495,34240,35993,1315447
,,124861,245275,37668,41764,10691,34863,80974,29788,118548,363761,68908,10901,73484,36340,35274,36483,1349583
,,127733,251628,38201,42721,11099,35853,84064,30102,121256,370624.278,71087,11559,74368,37768,36404,37086,1381553.278
,,132039,257447,38947,43510,11561,38062,85943,30278,125026,374337.078,72949,12403,75326,38494,45809,37559,1419690.078
,,138378,268165,41120,43510,12232,41309,88103,30281,126703,395509,74161,12975,77582,40035,47850,38661,1476574
,,141330,275974,44258,44667,12498,42355,89792,30973,128975,404477,76635,13608,78702,41365,48768,39300,1513677
,,145743,284013,45030,46566,12819,43633,91608,31409,131677,413473,79206,14586,80737,41996,50382,40024,1552902
,,151707,292693,46394,49221,13155,45547,94470,31733,135044,422926,81657,15326,82239,42777,51485,40711,1597085
,,159888,302217,50222,51685,13440,47122,97217,32295,138605,438155,85848,16477,84041,43913,53107,41243,1655475
,,168956,313070,52049,54874,14300,49196,99080,33417,143584,445622,90022,17473,86039,45432,55154,41828,1710096
,,185695,328591,59894,54874,15434,51364,114570,33416,147181,461972,91949,18334,86039,47583,56040,51249,1804185
,,197982,338582,61407,57349,16588,52236,117614,34080,151408,476845,97534,19486,88195,48805,59523,51758,1869392
,,211639,348330,62939,60041,17934,53363,122245,34927,155860,489176,102589,20561,94514,51002,63150,52659,1940929
,,226000,350733,64698,62913,19299,55391,126850,35630,160292,505582,108418,21685,96391,52907,66650,53394,2008316
,,239847,370418,66478,66104,20474,57075,134121,36325,166651,529027,116728,22894,98240,54693,69474,53887,2102436
,,252644,384295,68542,70245,21585,59602,141649,38085,175952,544368,126984,24556,100224,56675,73228,54547,2193181
,,279208,409724,73479,70249,23234,62576,160683,38362,183769,561256,130833,25504,104335,59697,78403,63386,2324698
,,293889,421963,75684,73621,24314,65032,166464,39625,190305,580406,136488,26578,106566,62252,78525,64132,2405844
,,311045,433796,77515,76315,25341,67978,173483,41149,197775,606733,142181,27489,109277,64085,84258,65245,2503665
,,326361,445657,79618,79625,26469,70814,179780,42738,206812,632357,150121,28528,111831,66053,87071,65717,2599552
,,340423,459156,82263,84533,27625,73248,186956,44603,213478,666405,161210,29514,114337,67939,91391,66923,2710004
,,352656,474324,85398,88484,28759,75737,194138,48187,226813,644240,171980,30636,116842,71670,95635,67736,2773235
,,375036,497048,100193,91273,30308,79789,207488,49366,241162,723149,177842,31493,120387,74941,100811,73507,2973793
,,387027,505438,102573,92542,31416,81734,212933,50878,263152,745856,184660,32437,122045,76096,103009,73941,3065737
,,393173,510085,103196,94598,32037,83487,214108,51104,265090,752872,187242,33978,122997,76691,103826,74578,3099062
,,398865,514420,103659,95341,32590,85683,216681,51287,270631,755428,190846,34727,123949,77691,104559,74933,3131290
,,403529,518593,104405,96228,33218,87570,216725,51621,273979,758758,194854,36035,124280,78322,105608,75395,3165184
,,410691,524309,106027,97326,33895,89490,220612,52191,279847,760858,198400,36852,124845,79632,107550,77068,3205657
,,424123,536147,111657,98351,35048,93331,230863,52730,288708,794107,203234,37719,126311,81173,110586,81384,3311536
,,432711,543214,113707,98834,35568,95144,230863,53632,296277,815849,207462,38847,126720,82545,112741,82214,3372392
,,442693,551567,116156,99897,36476,97088,230863,54770,305896,837111,203135,39856,128004,83918,115338,82952,3431784
,,453075,562642,118612,101954,37303,99388,230863,55812,315766,853103,206317,40807,128484,85727,118524,83525,3498862
,,456613,572579,124321,104056,38133,101602,250592,57097,325335,874171,211424,41782,132280,87660,120695,84213,3589513
,,473932,586026,128348,106291,39042,104664,255668,59891,340174,888439,215993,42807,136015,89795,124231,84917,3683193
,,489928,603193,134923,107277,39531,120468,267900,62129,354847,951479,218454,43498,144247,92801,127772,87920,3853327
,,499055,612358,137099,108826,40177,122728,278490,63590,363181,971577,222619,44362,146058,94639,129966,88638,3930323
,,504376,621577,138679,109983,40877,116565,282813,60939,371693,1016133,218562,44809,147057,96119,133164,89314,3999620
,,509771,628248,139754,111670,41621,119526,285102,62136,378723,1026141,221883,45902,148964,98873,135964,90423,4051661
,,520486,640033,144823,113384,42524,124592,291275,64961,389461,1082394,226928,46794,150808,101356,141239,91999,4180017
,,533341,655473,148686,114179,43401,131636,299988,65860,393811,1132479,229445,47634,153928,103878,145047,92894,4298640
,,539588,662951,150142,115141,43988,133440,304085,66792,400110,1146737,232813,48468,155492,105314,147523,93645,4353189
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
