date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,151,68,105,,,0,154,,140,,,,0,0,344,,962
2020-12-28,2020-12-29 08:00,326,91,105,,,,287,2,141,,,,1,124,584,,1661
2020-12-30,2020-12-31 08:30,763,424,105,20,5,0,712,7,315,0,0,0,1,300,1175,0,3827
2020-12-31,2021-01-01 12:30,1037,718,105,20,6,,821,8,654,,,,1,458,1527,0,5355
2021-01-01,2021-01-02 08:00,1189,718,105,20,6,,955,8,827,0,,,1,495,1798,,6122
2021-01-02,2021-01-03 08:00,1382,1091,105,20,9,,1096,8,982,,,,1,546,2077,,7317
2021-01-03,2021-01-04 12:00,1469,1280,105,20,9,0,1185,8,1035,0,0,0,1,562,2325,0,7999
2021-01-04,2021-01-05 12:00,1716,1554,105,20,18,0,1492,29,1915,0,0,0,1,649,2716,1,10216
2021-01-05,2021-01-06 11:00,2023,1573,105,20,29,44,1657,27,3112,,,,1,738,2932,7,12268
2021-01-06,2021-01-07 11:00,2303,1595,105,21,31,86,1853,46,4698,,,,1,738,3234,21,14732
2021-01-07,2021-01-08 11:00,2433,1609,105,53,34,108,2101,137,6226,0,0,0,1,783,3655,22,17267
2021-01-08,2021-01-09 11:00,2561,1676,105,87,42,116,2320,194,7978,0,4,0,1,987,3947,25,20043
2021-01-10,2021-01-11 11:00,2838,2117,105,87,43,144,2723,194,8519,,5,,1,1057,4301,25,22159
2021-01-11,2021-01-12 11:00,2909,2310,105,118,44,692,2915,342,9632,0,9,0,1,1075,5175,45,25372
2021-01-12,2021-01-13 11:00,2980,2606,105,193,60,1503,3172,376,10409,0,9,0,1,1178,5452,81,28125
2021-01-13,2021-01-14 11:00,3032,2880,105,212,88,1729,3338,552,11194,,10,,1,1274,5452,82,29949
2021-01-14,2021-01-15 11:00,3175,3143,105,268,89,2263,3700,591,11732,0,16,0,1,1311,5453,248,32095
2021-01-15,2021-01-16 11:00,3348,3487,105,343,89,2270,3952,706,13058,0,20,0,1,1352,5456,413,34600
2021-01-17,2021-01-18 11:00,3663,3924,105,368,100,1812,4096,706,16913,,19,0,1,1372,5458,475,39012
2021-01-18,2021-01-19 14:00,3887,4018,105,411,101,1817,4244,730,14743,0,25,0,1,1437,5460,708,37687
2021-01-19,2021-01-20 10:00,3994,4116,108,496,103,1822,4328,836,16323,0,41,0,1,1477,5461,708,39814
2021-01-20,2021-01-21 10:00,4083,4200,108,553,104,1824,4380,889,17599,0,51,0,1,1750,5463,1056,42061
2021-01-21,2021-01-22 10:00,4159,4305,108,645,107,1827,4449,959,24117,0,54,1,1,1806,5463,1138,49139
2021-01-22,2021-01-23 10:00,4659,4484,108,734,116,1829,4559,1016,24714,0,54,1,1,1886,5464,1299,50924
2021-01-24,2021-01-25 10:00,5439,4812,108,734,122,1832,4572,1016,20961,0,61,1,152,1891,5465,1355,48521
2021-01-25,2021-01-26 10:00,6166,5219,108,747,129,1833,4669,1025,21084,0,68,1,152,1920,5787,1602,50510
2021-01-26,2021-01-27 10:00,6044,5612,108,810,129,1837,4731,1093,21169,0,77,1,152,1926,5939,1790,51418
2021-01-27,2021-01-28 10:00,6324,5956,108,849,135,1837,4778,1130,21942,0,84,1,152,2021,5961,1886,53164
2021-01-28,2021-01-29 10:00,6504,6266,108,973,137,1838,4811,1144,22487,0,84,1,229,2075,6051,1905,54613
2021-01-29,2021-01-30 10:00,7096,6582,108,1068,137,1838,4895,1205,23021,0,86,1,456,2094,6128,2039,56754
2021-01-31,2021-02-01 10:00,7687,6881,108,1068,139,1840,4993,1205,24136,10173,85,1,600,2118,6128,2119,69281
2021-02-01,2021-02-02 10:00,7937,7107,108,1093,147,1842,5129,1251,24510,10565,86,1,950,2162,6280,2225,71393
2021-02-02,2021-02-03 10:00,8282,7344,108,1141,156,1846,5144,1253,25385,10696,87,1,1352,2247,6306,2291,73639
2021-02-03,2021-02-04 10:00,8489,7614,108,1155,164,1853,5174,1255,26068,11257,89,1,1675,2315,6371,2407,75995
2021-02-04,2021-02-05 10:00,8785,7895,148,1167,173,1855,5235,1256,27027,11394,93,1,2040,2329,6387,2499,78284
2021-02-05,2021-02-06 10:00,9113,8159,148,1192,178,1856,5295,1271,27352,11593,90,0,2239,2378,6390,2603,79857
2021-02-07,2021-02-08 11:00,9523,8925,148,1192,180,1860,5304,1271,28490,11852,88,0,2442,2386,6442,2647,82750
2021-02-08,2021-02-09 10:00,9731,9406,148,1211,182,1860,5411,1288,28624,12200,88,0,2843,2390,6450,2780,84612
2021-02-09,2021-02-10 10:00,10078,9903,148,1215,182,1863,5574,1290,28995,12553,89,0,3258,2744,6482,3074,87448
2021-02-10,2021-02-11 10:00,10272,10211,148,1227,187,1869,5581,1299,29342,12823,94,0,3436,2801,6550,3217,89057
2021-02-11,2021-02-12 10:00,10491,10695,148,1267,201,1871,5603,1408,30096,13175,95,0,3511,2981,6571,3311,91424
2021-02-12,2021-02-13 08:00,10725,11264,150,1304,206,1875,5638,1450,30648,13563,97,0,3840,3019,6626,3557,93962
2021-02-14,2021-02-15 08:00,10954,12122,150,1304,224,1883,5685,1451,30945,13792,97,0,4081,3019,6635,4169,96511
2021-02-15,2021-02-16 08:00,11056,12905,150,1307,248,1885,5733,1474,31622,14152,97,0,4223,3204,6641,4258,98955
2021-02-16,2021-02-17 10:00,11249,13361,150,1310,258,1891,5760,1478,31958,14363,97,0,4359,3333,6655,4409,100631
2021-02-17,2021-02-18 08:00,11434,13753,150,1416,260,1900,5783,1524,33400,14659,98,0,4556,3391,6661,4478,103463
2021-02-18,2021-02-19 08:00,11569,14199,150,1507,262,1907,5824,1533,33691,14884,104,0,4845,3602,6672,4550,105299
2021-02-19,2021-02-20 08:00,11734,15051,150,1566,285,1909,5847,1553,34173,14982,105,0,5193,3728,9502,4603,110381
2021-02-21,2021-02-22 08:00,12327,16199,150,1566,290,1931,5868,1553,34917,15162,106,0,5570,3729,9503,4809,113680
2021-02-22,2021-02-23 08:00,12665,17443,150,1655,303,1938,6039,1559,35481,15533,107,0,5748,3888,9504,4865,116878
