date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,2020-12-29 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31 08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03 08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18 11:00,0,0,0,0,0,0,34,0,139,0,0,0,0,194,0,0,367
2021-01-18,2021-01-19 14:00,0,0,0,0,5,0,61,13,142,0,0,0,0,209,0,0,430
2021-01-19,2021-01-20 10:00,184,0,28,0,5,0,254,0,147,0,1,0,0,296,0,0,915
2021-01-20,2021-01-21 10:00,303,0,28,0,6,0,357,17,315,0,1,0,0,400,0,1,1428
2021-01-21,2021-01-22 10:00,412,152,28,0,6,0,2014,21,589,0,0,0,0,486,0,3,3711
2021-01-22,2021-01-23 10:00,448,288,28,0,7,0,2173,21,669,0,0,0,0,604,0,3,4241
2021-01-24,2021-01-25 10:00,550,522,28,0,9,0,2385,21,873,0,2,0,0,751,0,3,5144
2021-01-25,2021-01-26 10:00,606,1043,28,0,10,0,2617,26,1698,0,2,0,0,810,147,3,6990
2021-01-26,2021-01-27 10:00,673,1086,28,0,11,34,2806,84,3038,0,7,0,0,947,334,4,9052
2021-01-27,2021-01-28 10:00,731,1153,28,0,12,60,3043,148,4593,0,8,0,0,1035,334,48,11193
2021-01-28,2021-01-29 10:00,832,1167,28,0,17,93,3241,0,6122,0,13,0,0,1088,817,48,13466
2021-01-29,2021-01-30 10:00,943,1188,28,1,21,105,3393,0,7663,0,15,0,8,1302,1063,65,15795
2021-01-31,2021-02-01 10:00,1199,1535,28,1,23,129,3595,0,8240,3477,15,0,241,1538,1428,65,21514
2021-02-01,2021-02-02 10:00,1276,1710,28,11,23,144,3715,151,9215,4339,22,0,408,1556,1461,159,24218
2021-02-02,2021-02-03 10:00,1333,2042,28,84,32,155,3978,153,9904,4947,30,0,643,1587,1860,188,26964
2021-02-03,2021-02-04 10:00,1386,2276,28,111,60,166,4097,156,10634,5293,38,0,1001,1750,2083,275,29354
2021-02-04,2021-02-05 10:00,1488,2501,30,177,63,173,4387,156,11243,5991,39,0,1377,1800,2407,351,32183
2021-02-05,2021-02-06 10:00,1583,2700,30,255,64,177,4721,158,12473,6435,39,0,1870,1823,2561,500,35389
2021-02-07,2021-02-08 11:00,1809,3173,30,255,70,182,4792,158,13627,4090,39,0,2417,1872,3258,564,36336
2021-02-08,2021-02-09 10:00,2022,3243,30,306,73,183,5055,170,13972,4090,42,0,2690,1927,3720,704,38227
2021-02-09,2021-02-10 10:00,2151,3324,30,357,75,187,5182,230,14445,8389,46,0,2989,1966,3867,890,44128
2021-02-10,2021-02-11 10:00,2238,3405,30,446,75,191,5222,332,14690,8731,50,0,3232,2107,4030,1062,45841
2021-02-11,2021-02-12 10:00,2318,3517,30,542,78,193,5304,378,16528,8949,57,0,3409,2190,4219,1143,48855
2021-02-12,2021-02-13 08:00,2617,3604,2608,638,81,198,5411,397,18300,9197,68,0,3544,2275,4510,1324,54772
2021-02-14,2021-02-15 08:00,3272,4015,30,665,92,202,5427,397,19662,10018,69,0,3823,2275,5028,1412,56387
2021-02-15,2021-02-16 08:00,3443,4288,30,713,93,204,5452,407,19857,10189,76,0,3996,2347,5520,1669,58284
2021-02-16,2021-02-17 10:00,3611,4517,30,767,99,206,5475,432,20016,10260,76,0,4098,2353,5755,1765,59460
2021-02-17,2021-02-18 08:00,3826,4758,30,806,107,207,5527,452,20854,10396,78,0,4286,2433,5999,1843,61602
2021-02-18,2021-02-19 08:00,4030,4979,30,850,109,207,5579,485,21295,10430,81,0,4427,2434,6390,1911,63237
2021-02-19,2021-02-20 08:00,4455,5427,30,878,109,207,5690,527,21807,10439,82,0,4638,2452,7280,2048,66069
2021-02-21,2021-02-22 08:00,4922,5772,30,878,110,210,5745,527,22840,10449,83,0,4854,2475,7788,2117,68800
2021-02-22,2021-02-23 08:00,5056,5996,30,944,116,210,5764,535,23263,10587,86,0,5157,2529,8079,2161,70513
2021-02-23,2021-02-24 08:00,5300,6185,30,997,126,211,5772,543,23954,10879,87,0,5475,2599,8258,2194,72610
2021-02-24,2021-02-25 08:00,5539,6429,30,1009,137,218,5792,557,24666,11177,82,0,5675,2608,8531,2310,74760
2021-02-25,2021-02-26 10:00,5813,6715,30,1032,138,222,5846,564,25381,11567,85,0,5795,2617,8618,2364,76787
2021-02-26,2021-02-27 08:00,6138,7029,30,1058,146,223,5933,571,25649,11820,88,0,6203,2630,8712,2424,78654
2021-02-28,2021-03-01 08:00,6465,7519,30,1058,150,227,4783,571,26691,11841,88,0,6203,2630,8712,2428,79396
2021-03-01,2021-03-02 08:00,6590,7691,30,1064,155,230,5145,633,26886,12330,88,0,6352,2634,8727,2533,81088
2021-03-02,2021-03-03 10:00,6838,8075,30,1076,158,233,5647,636,27256,12488,89,0,6659,2850,8740,2739,83514
2021-03-03,2021-03-04 08:00,7116,8075,30,1098,161,237,6034,662,27653,13119,90,0,6799,2909,8769,2912,85664
2021-03-04,2021-03-05 08:00,7363,8960,30,1109,163,239,6414,671,28258,13508,90,0,6972,2921,8824,3023,88545
2021-03-05,2021-03-06 08:00,7576,10087,30,1135,164,242,6747,690,28786,13733,90,0,7179,2926,8834,3233,91452
2021-03-07,2021-03-08 08:00,7799,10705,30,1135,164,252,7176,690,29018,13824,90,0,7454,3060,8836,3254,93487
2021-03-08,2021-03-09 08:00,7910,10939,30,1162,166,254,7928,692,29398,14096,93,0,7554,3227,8836,3372,95657
2021-03-09,2021-03-10 08:00,8051,11424,30,1167,170,259,8211,714,29882,14440,93,1,7703,3322,8866,3460,97793
2021-03-10,2021-03-11 08:00,8191,11802,30,1179,172,263,8543,735,30472,14685,93,4,7819,3412,8866,3562,99828
2021-03-11,2021-03-12 08:00,8297,12177,30,1216,175,269,8788,745,30618,14774,97,11,8078,3549,8869,3655,101348
2021-03-12,2021-03-13 08:00,8434,12556,30,1246,178,270,9118,777,30851,16949,97,11,8306,3561,8877,3794,105055
2021-03-14,2021-03-15 08:00,8639,13193,30,1250,178,287,9656,777,30932,15155,97,15,8696,3561,8897,3825,105188
