date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,215,215,0,215,0,215,215,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,168,0,168,0,4,4,0,4,0,,,0,,0,211,211,0,211,0,,,,,,0.021785675563666358,0.021785675563666358,0,0.021785675563666358,0,0.21785675563666357,0.21785675563666357,0,0.21785675563666357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,862,862,0,862,0,862,862,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,658,0,658,0,51,51,0,51,0,,,0,,0,466,466,0,466,0,647,,,,,0.0873453597017693,0.0873453597017693,0,0.0873453597017693,0,0.873453597017693,0.873453597017693,0,0.873453597017693,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,2119,2119,0,2119,0,2119,2119,0,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,1641,0,1641,0,161,161,0,161,0,,0,0,0,0,899,899,0,899,0,601,,,,,0.21471556520655355,0.21471556520655355,0,0.21471556520655355,0,2.1471556520655355,2.1471556520655355,0,2.1471556520655355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,2716,2716,0,2716,0,2716,2716,0,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2065,2065,0,2065,0,248,248,0,248,0,,,0,,0,1080,1080,0,1080,0,597,,,,,0.27520881316705964,0.27520881316705964,0,0.27520881316705964,0,2.7520881316705967,2.7520881316705967,0,2.7520881316705967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,3316,3316,0,3316,0,3316,3316,0,3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508,2508,0,2508,0,335,335,0,335,0,,,0,,0,1294,1294,0,1294,0,600,,,,,0.3360060472982216,0.3360060472982216,0,0.3360060472982216,0,3.360060472982216,3.360060472982216,0,3.360060472982216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,4149,4149,0,4149,0,4149,4149,0,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,3122,0,3122,0,495,495,0,495,0,,,0,,0,1580,1580,0,1580,0,833,,,,,0.42041287401698474,0.42041287401698474,0,0.42041287401698474,0,4.204128740169847,4.204128740169847,0,4.204128740169847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,4149,4149,0,4149,0,4149,4149,0,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122,3122,0,3122,0,495,495,0,495,0,0,0,0,0,0,1580,1580,0,1580,0,,,,,,0.42041287401698474,0.42041287401698474,0,0.42041287401698474,0,4.204128740169847,4.204128740169847,0,4.204128740169847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,4836,4836,0,4836,0,4836,4836,0,4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3655,3655,0,3655,0,584,584,0,584,0,0,0,0,0,0,1823,1823,0,1823,0,687,,,,,0.49002570709716514,0.49002570709716514,0,0.49002570709716514,0,4.9002570709716515,4.9002570709716515,0,4.9002570709716515,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,5633,5633,0,5633,0,5633,5633,0,5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279,4279,0,4279,0,672,672,0,672,0,,,0,,0,2156,2156,0,2156,0,797,,,,,0.5707846997680586,0.5707846997680586,0,0.5707846997680586,0,5.707846997680585,5.707846997680585,0,5.707846997680585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,6511,6511,0,6511,0,6511,6511,0,6511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4940,4940,0,4940,0,813,813,0,813,0,,,0,,0,2430,2430,0,2430,0,878,,,,,0.6597513190466588,0.6597513190466588,0,0.6597513190466588,0,6.5975131904665885,6.597513190466588,0,6.5975131904665885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
